Year,Reference area,Sex,COMPOSITE_BREAKDOWN,Value
2018,Osh (city),Male,Non-communicable disease: Cardiovascular disease,226.825843
2019,Osh (city),Male,Non-communicable disease: Cardiovascular disease,221.173297
2020,Osh (city),Male,Non-communicable disease: Cardiovascular disease,291.4
2007,Osh (city),Female,Non-communicable disease: Cardiovascular disease,218.073189
2008,Osh (city),Female,Non-communicable disease: Cardiovascular disease,271.771772
2009,Osh (city),Female,Non-communicable disease: Cardiovascular disease,239.761727
2010,Osh (city),Female,Non-communicable disease: Cardiovascular disease,244.958925
2011,Osh (city),Female,Non-communicable disease: Cardiovascular disease,250.0
2012,Osh (city),Female,Non-communicable disease: Cardiovascular disease,279.970216
2013,Osh (city),Female,Non-communicable disease: Cardiovascular disease,249.81685
2014,Osh (city),Female,Non-communicable disease: Cardiovascular disease,260.806916
2015,Osh (city),Female,Non-communicable disease: Cardiovascular disease,231.25884
2016,Osh (city),Female,Non-communicable disease: Cardiovascular disease,241.331484
2017,Osh (city),Female,Non-communicable disease: Cardiovascular disease,237.288136
2018,Osh (city),Female,Non-communicable disease: Cardiovascular disease,220.171391
2019,Osh (city),Female,Non-communicable disease: Cardiovascular disease,197.209892
2020,Osh (city),Female,Non-communicable disease: Cardiovascular disease,283.5
2007,,,Non-communicable disease: Cancer,57.1
2008,,,Non-communicable disease: Cancer,58.2
2009,,,Non-communicable disease: Cancer,60.7
2010,,,Non-communicable disease: Cancer,59.4
2011,,,Non-communicable disease: Cancer,61.3
2012,,,Non-communicable disease: Cancer,59.4
2013,,,Non-communicable disease: Cancer,61.0
2014,,,Non-communicable disease: Cancer,64.3
2015,,,Non-communicable disease: Cancer,64.5
2016,,,Non-communicable disease: Cancer,64.4
2017,,,Non-communicable disease: Cancer,62.2
2018,,,Non-communicable disease: Cancer,65.6
2019,,,Non-communicable disease: Cancer,64.1
2020,,,Non-communicable disease: Cancer,63.8
2007,,Male,Non-communicable disease: Cancer,60.758812
2008,,Male,Non-communicable disease: Cancer,60.756213
2009,,Male,Non-communicable disease: Cancer,66.097038
2010,,Male,Non-communicable disease: Cancer,63.699241
2011,,Male,Non-communicable disease: Cancer,65.633379
2012,,Male,Non-communicable disease: Cancer,63.242248
2013,,Male,Non-communicable disease: Cancer,63.974255
2014,,Male,Non-communicable disease: Cancer,69.006132
2015,,Male,Non-communicable disease: Cancer,66.804571
2016,,Male,Non-communicable disease: Cancer,69.296411
2017,,Male,Non-communicable disease: Cancer,65.881128
2018,,Male,Non-communicable disease: Cancer,67.25771
2019,,Male,Non-communicable disease: Cancer,66.331627
2007,,Female,Non-communicable disease: Cancer,53.49116
2008,,Female,Non-communicable disease: Cancer,55.693666
2009,,Female,Non-communicable disease: Cancer,55.417003
2010,,Female,Non-communicable disease: Cancer,55.31591
2011,,Female,Non-communicable disease: Cancer,57.020057
2012,,Female,Non-communicable disease: Cancer,55.618215
2013,,Female,Non-communicable disease: Cancer,58.018118
2014,,Female,Non-communicable disease: Cancer,59.747041
2015,,Female,Non-communicable disease: Cancer,62.194595
2016,,Female,Non-communicable disease: Cancer,59.711222
2017,,Female,Non-communicable disease: Cancer,58.599623
2018,,Female,Non-communicable disease: Cancer,63.939261
2019,,Female,Non-communicable disease: Cancer,61.883243
2007,Batken,,Non-communicable disease: Cancer,32.3
2008,Batken,,Non-communicable disease: Cancer,26.4
2009,Batken,,Non-communicable disease: Cancer,30.2
2010,Batken,,Non-communicable disease: Cancer,33.8
2011,Batken,,Non-communicable disease: Cancer,33.9
2012,Batken,,Non-communicable disease: Cancer,33.0
2013,Batken,,Non-communicable disease: Cancer,32.1
2014,Batken,,Non-communicable disease: Cancer,35.6
2015,Batken,,Non-communicable disease: Cancer,42.3
2016,Batken,,Non-communicable disease: Cancer,38.6
2017,Batken,,Non-communicable disease: Cancer,32.6
2018,Batken,,Non-communicable disease: Cancer,43.319214
2019,Batken,,Non-communicable disease: Cancer,37.462349
2020,Batken,,Non-communicable disease: Cancer,34.1
2007,Batken,Male,Non-communicable disease: Cancer,30.826716
2008,Batken,Male,Non-communicable disease: Cancer,31.018519
2009,Batken,Male,Non-communicable disease: Cancer,34.246575
2010,Batken,Male,Non-communicable disease: Cancer,35.087719
2011,Batken,Male,Non-communicable disease: Cancer,31.443756
2012,Batken,Male,Non-communicable disease: Cancer,30.381944
2013,Batken,Male,Non-communicable disease: Cancer,28.401865
2014,Batken,Male,Non-communicable disease: Cancer,38.907285
2015,Batken,Male,Non-communicable disease: Cancer,42.424242
2016,Batken,Male,Non-communicable disease: Cancer,37.095501
2017,Batken,Male,Non-communicable disease: Cancer,28.979907
2018,Batken,Male,Non-communicable disease: Cancer,38.185255
2019,Batken,Male,Non-communicable disease: Cancer,38.433112
2007,Batken,Female,Non-communicable disease: Cancer,33.800097
2008,Batken,Female,Non-communicable disease: Cancer,21.562051
2009,Batken,Female,Non-communicable disease: Cancer,26.017029
2010,Batken,Female,Non-communicable disease: Cancer,32.543003
2011,Batken,Female,Non-communicable disease: Cancer,36.513008
2012,Batken,Female,Non-communicable disease: Cancer,35.810206
2013,Batken,Female,Non-communicable disease: Cancer,35.901926
2014,Batken,Female,Non-communicable disease: Cancer,32.106164
2015,Batken,Female,Non-communicable disease: Cancer,42.24174
2016,Batken,Female,Non-communicable disease: Cancer,40.04904
2017,Batken,Female,Non-communicable disease: Cancer,36.443732
2018,Batken,Female,Non-communicable disease: Cancer,48.646528
2019,Batken,Female,Non-communicable disease: Cancer,36.454336
2007,Jalal-Abad,,Non-communicable disease: Cancer,36.3
2008,Jalal-Abad,,Non-communicable disease: Cancer,42.0
2009,Jalal-Abad,,Non-communicable disease: Cancer,47.8
2010,Jalal-Abad,,Non-communicable disease: Cancer,46.3
2011,Jalal-Abad,,Non-communicable disease: Cancer,51.5
2012,Jalal-Abad,,Non-communicable disease: Cancer,47.3
2013,Jalal-Abad,,Non-communicable disease: Cancer,49.2
2014,Jalal-Abad,,Non-communicable disease: Cancer,51.0
2015,Jalal-Abad,,Non-communicable disease: Cancer,52.9
2016,Jalal-Abad,,Non-communicable disease: Cancer,54.2
2017,Jalal-Abad,,Non-communicable disease: Cancer,50.9
2018,Jalal-Abad,,Non-communicable disease: Cancer,49.480249
2019,Jalal-Abad,,Non-communicable disease: Cancer,50.87233
2020,Jalal-Abad,,Non-communicable disease: Cancer,50.5
2007,Jalal-Abad,Male,Non-communicable disease: Cancer,37.037037
2008,Jalal-Abad,Male,Non-communicable disease: Cancer,45.2
2009,Jalal-Abad,Male,Non-communicable disease: Cancer,49.025399
2010,Jalal-Abad,Male,Non-communicable disease: Cancer,46.168768
2011,Jalal-Abad,Male,Non-communicable disease: Cancer,58.846007
2012,Jalal-Abad,Male,Non-communicable disease: Cancer,49.653363
2013,Jalal-Abad,Male,Non-communicable disease: Cancer,49.8808
2014,Jalal-Abad,Male,Non-communicable disease: Cancer,53.311793
2015,Jalal-Abad,Male,Non-communicable disease: Cancer,53.555751
2016,Jalal-Abad,Male,Non-communicable disease: Cancer,59.662999
2017,Jalal-Abad,Male,Non-communicable disease: Cancer,57.831732
2018,Jalal-Abad,Male,Non-communicable disease: Cancer,45.627376
2019,Jalal-Abad,Male,Non-communicable disease: Cancer,51.523007
2007,Jalal-Abad,Female,Non-communicable disease: Cancer,35.634744
2008,Jalal-Abad,Female,Non-communicable disease: Cancer,38.838839
2009,Jalal-Abad,Female,Non-communicable disease: Cancer,46.539144
2010,Jalal-Abad,Female,Non-communicable disease: Cancer,46.461897
2011,Jalal-Abad,Female,Non-communicable disease: Cancer,44.061303
2012,Jalal-Abad,Female,Non-communicable disease: Cancer,44.941707
2013,Jalal-Abad,Female,Non-communicable disease: Cancer,48.461397
2014,Jalal-Abad,Female,Non-communicable disease: Cancer,48.762868
2015,Jalal-Abad,Female,Non-communicable disease: Cancer,52.221632
2016,Jalal-Abad,Female,Non-communicable disease: Cancer,48.784722
2017,Jalal-Abad,Female,Non-communicable disease: Cancer,43.811797
2018,Jalal-Abad,Female,Non-communicable disease: Cancer,53.380187
2019,Jalal-Abad,Female,Non-communicable disease: Cancer,50.213325
2007,Issyk-Kul,,Non-communicable disease: Cancer,74.6
2008,Issyk-Kul,,Non-communicable disease: Cancer,72.4
2009,Issyk-Kul,,Non-communicable disease: Cancer,78.7
2010,Issyk-Kul,,Non-communicable disease: Cancer,73.4
2011,Issyk-Kul,,Non-communicable disease: Cancer,74.0
2012,Issyk-Kul,,Non-communicable disease: Cancer,84.8
2013,Issyk-Kul,,Non-communicable disease: Cancer,81.8
2014,Issyk-Kul,,Non-communicable disease: Cancer,85.2
2015,Issyk-Kul,,Non-communicable disease: Cancer,89.1
2016,Issyk-Kul,,Non-communicable disease: Cancer,83.9
2017,Issyk-Kul,,Non-communicable disease: Cancer,80.9
2018,Issyk-Kul,,Non-communicable disease: Cancer,90.460526
2019,Issyk-Kul,,Non-communicable disease: Cancer,87.441672
2020,Issyk-Kul,,Non-communicable disease: Cancer,85.6
2007,Issyk-Kul,Male,Non-communicable disease: Cancer,79.008883
2008,Issyk-Kul,Male,Non-communicable disease: Cancer,68.741291
2009,Issyk-Kul,Male,Non-communicable disease: Cancer,90.658076
2010,Issyk-Kul,Male,Non-communicable disease: Cancer,76.642336
2011,Issyk-Kul,Male,Non-communicable disease: Cancer,82.730561
2012,Issyk-Kul,Male,Non-communicable disease: Cancer,90.380313
2013,Issyk-Kul,Male,Non-communicable disease: Cancer,95.006628
2014,Issyk-Kul,Male,Non-communicable disease: Cancer,93.0131
2015,Issyk-Kul,Male,Non-communicable disease: Cancer,90.948276
2016,Issyk-Kul,Male,Non-communicable disease: Cancer,91.758709
2017,Issyk-Kul,Male,Non-communicable disease: Cancer,88.358459
2018,Issyk-Kul,Male,Non-communicable disease: Cancer,93.311313
2019,Issyk-Kul,Male,Non-communicable disease: Cancer,92.87169
2007,Issyk-Kul,Female,Non-communicable disease: Cancer,70.390554
2008,Issyk-Kul,Female,Non-communicable disease: Cancer,75.983718
2009,Issyk-Kul,Female,Non-communicable disease: Cancer,67.056706
2010,Issyk-Kul,Female,Non-communicable disease: Cancer,70.183281
2011,Issyk-Kul,Female,Non-communicable disease: Cancer,65.304309
2012,Issyk-Kul,Female,Non-communicable disease: Cancer,79.225352
2013,Issyk-Kul,Female,Non-communicable disease: Cancer,68.785372
2014,Issyk-Kul,Female,Non-communicable disease: Cancer,77.51938
2015,Issyk-Kul,Female,Non-communicable disease: Cancer,87.234043
2016,Issyk-Kul,Female,Non-communicable disease: Cancer,76.05042
2017,Issyk-Kul,Female,Non-communicable disease: Cancer,73.413521
2018,Issyk-Kul,Female,Non-communicable disease: Cancer,87.633088
2019,Issyk-Kul,Female,Non-communicable disease: Cancer,82.053355
2007,Naryn,,Non-communicable disease: Cancer,70.8
2008,Naryn,,Non-communicable disease: Cancer,72.0
2009,Naryn,,Non-communicable disease: Cancer,72.0
2010,Naryn,,Non-communicable disease: Cancer,66.7
2011,Naryn,,Non-communicable disease: Cancer,81.9
2012,Naryn,,Non-communicable disease: Cancer,63.8
2013,Naryn,,Non-communicable disease: Cancer,78.2
2014,Naryn,,Non-communicable disease: Cancer,82.4
2015,Naryn,,Non-communicable disease: Cancer,89.5
2016,Naryn,,Non-communicable disease: Cancer,88.1
2017,Naryn,,Non-communicable disease: Cancer,81.8
2018,Naryn,,Non-communicable disease: Cancer,87.946741
2019,Naryn,,Non-communicable disease: Cancer,83.593479
2020,Naryn,,Non-communicable disease: Cancer,80.4
2007,Naryn,Male,Non-communicable disease: Cancer,77.872012
2008,Naryn,Male,Non-communicable disease: Cancer,75.442648
2009,Naryn,Male,Non-communicable disease: Cancer,79.632466
2010,Naryn,Male,Non-communicable disease: Cancer,74.242424
2011,Naryn,Male,Non-communicable disease: Cancer,83.832335
2012,Naryn,Male,Non-communicable disease: Cancer,62.130178
2013,Naryn,Male,Non-communicable disease: Cancer,76.69832
2014,Naryn,Male,Non-communicable disease: Cancer,90.252708
2015,Naryn,Male,Non-communicable disease: Cancer,88.508208
2016,Naryn,Male,Non-communicable disease: Cancer,95.909732
2017,Naryn,Male,Non-communicable disease: Cancer,80.779944
2018,Naryn,Male,Non-communicable disease: Cancer,101.928375
2019,Naryn,Male,Non-communicable disease: Cancer,89.97955
2007,Naryn,Female,Non-communicable disease: Cancer,63.579278
2008,Naryn,Female,Non-communicable disease: Cancer,68.396226
2009,Naryn,Female,Non-communicable disease: Cancer,64.212999
2010,Naryn,Female,Non-communicable disease: Cancer,59.052059
2011,Naryn,Female,Non-communicable disease: Cancer,80.0
2012,Naryn,Female,Non-communicable disease: Cancer,65.498858
2013,Naryn,Female,Non-communicable disease: Cancer,79.819277
2014,Naryn,Female,Non-communicable disease: Cancer,74.349442
2015,Naryn,Female,Non-communicable disease: Cancer,90.441176
2016,Naryn,Female,Non-communicable disease: Cancer,79.94186
2017,Naryn,Female,Non-communicable disease: Cancer,82.793377
2018,Naryn,Female,Non-communicable disease: Cancer,73.466476
2019,Naryn,Female,Non-communicable disease: Cancer,76.977401
2007,Osh,,Non-communicable disease: Cancer,38.1
2008,Osh,,Non-communicable disease: Cancer,36.4
2009,Osh,,Non-communicable disease: Cancer,40.7
2010,Osh,,Non-communicable disease: Cancer,40.1
2011,Osh,,Non-communicable disease: Cancer,43.6
2012,Osh,,Non-communicable disease: Cancer,43.0
2013,Osh,,Non-communicable disease: Cancer,43.0
2014,Osh,,Non-communicable disease: Cancer,50.7
2015,Osh,,Non-communicable disease: Cancer,50.6
2016,Osh,,Non-communicable disease: Cancer,49.9
2017,Osh,,Non-communicable disease: Cancer,49.1
2018,Osh,,Non-communicable disease: Cancer,50.978916
2019,Osh,,Non-communicable disease: Cancer,52.767528
2020,Osh,,Non-communicable disease: Cancer,51.9
2007,Osh,Male,Non-communicable disease: Cancer,43.366409
2008,Osh,Male,Non-communicable disease: Cancer,40.857091
2009,Osh,Male,Non-communicable disease: Cancer,49.892704
2010,Osh,Male,Non-communicable disease: Cancer,47.669492
2011,Osh,Male,Non-communicable disease: Cancer,50.732218
2012,Osh,Male,Non-communicable disease: Cancer,47.912389
2013,Osh,Male,Non-communicable disease: Cancer,46.671127
2014,Osh,Male,Non-communicable disease: Cancer,56.218336
2015,Osh,Male,Non-communicable disease: Cancer,57.23852
2016,Osh,Male,Non-communicable disease: Cancer,55.711173
2017,Osh,Male,Non-communicable disease: Cancer,54.811206
2018,Osh,Male,Non-communicable disease: Cancer,55.298852
2019,Osh,Male,Non-communicable disease: Cancer,57.810219
2007,Osh,Female,Non-communicable disease: Cancer,32.673637
2008,Osh,Female,Non-communicable disease: Cancer,31.907045
2009,Osh,Female,Non-communicable disease: Cancer,31.255679
2010,Osh,Female,Non-communicable disease: Cancer,32.437276
2011,Osh,Female,Non-communicable disease: Cancer,36.415061
2012,Osh,Female,Non-communicable disease: Cancer,38.014234
2013,Osh,Female,Non-communicable disease: Cancer,39.232337
2014,Osh,Female,Non-communicable disease: Cancer,45.001661
2015,Osh,Female,Non-communicable disease: Cancer,43.774319
2016,Osh,Female,Non-communicable disease: Cancer,43.898574
2017,Osh,Female,Non-communicable disease: Cancer,43.322981
2018,Osh,Female,Non-communicable disease: Cancer,46.568254
2019,Osh,Female,Non-communicable disease: Cancer,47.61194
2007,Talas,,Non-communicable disease: Cancer,47.2
2008,Talas,,Non-communicable disease: Cancer,54.7
2009,Talas,,Non-communicable disease: Cancer,59.7
2010,Talas,,Non-communicable disease: Cancer,66.0
2011,Talas,,Non-communicable disease: Cancer,59.9
2012,Talas,,Non-communicable disease: Cancer,58.5
2013,Talas,,Non-communicable disease: Cancer,68.3
2014,Talas,,Non-communicable disease: Cancer,68.9
2015,Talas,,Non-communicable disease: Cancer,60.6
2016,Talas,,Non-communicable disease: Cancer,70.7
2017,Talas,,Non-communicable disease: Cancer,62.6
2018,Talas,,Non-communicable disease: Cancer,59.724349
2019,Talas,,Non-communicable disease: Cancer,61.03994
2020,Talas,,Non-communicable disease: Cancer,75.4
2007,Talas,Male,Non-communicable disease: Cancer,52.111411
2008,Talas,Male,Non-communicable disease: Cancer,48.845471
2009,Talas,Male,Non-communicable disease: Cancer,69.298246
2010,Talas,Male,Non-communicable disease: Cancer,75.324675
2011,Talas,Male,Non-communicable disease: Cancer,60.528559
2012,Talas,Male,Non-communicable disease: Cancer,67.001675
2013,Talas,Male,Non-communicable disease: Cancer,65.020576
2014,Talas,Male,Non-communicable disease: Cancer,80.906149
2015,Talas,Male,Non-communicable disease: Cancer,65.18283
2016,Talas,Male,Non-communicable disease: Cancer,72.713057
2017,Talas,Male,Non-communicable disease: Cancer,70.878274
2018,Talas,Male,Non-communicable disease: Cancer,61.363636
2019,Talas,Male,Non-communicable disease: Cancer,58.122206
2007,Talas,Female,Non-communicable disease: Cancer,42.190305
2008,Talas,Female,Non-communicable disease: Cancer,60.498221
2009,Talas,Female,Non-communicable disease: Cancer,50.176056
2010,Talas,Female,Non-communicable disease: Cancer,56.570931
2011,Talas,Female,Non-communicable disease: Cancer,59.329321
2012,Talas,Female,Non-communicable disease: Cancer,50.0
2013,Talas,Female,Non-communicable disease: Cancer,71.726439
2014,Talas,Female,Non-communicable disease: Cancer,56.696795
2015,Talas,Female,Non-communicable disease: Cancer,55.870445
2016,Talas,Female,Non-communicable disease: Cancer,68.635275
2017,Talas,Female,Non-communicable disease: Cancer,54.245283
2018,Talas,Female,Non-communicable disease: Cancer,58.049536
2019,Talas,Female,Non-communicable disease: Cancer,64.02439
2007,Chui,,Non-communicable disease: Cancer,88.1
2008,Chui,,Non-communicable disease: Cancer,91.2
2009,Chui,,Non-communicable disease: Cancer,95.3
2010,Chui,,Non-communicable disease: Cancer,89.6
2011,Chui,,Non-communicable disease: Cancer,92.0
2012,Chui,,Non-communicable disease: Cancer,91.5
2013,Chui,,Non-communicable disease: Cancer,88.3
2014,Chui,,Non-communicable disease: Cancer,92.7
2015,Chui,,Non-communicable disease: Cancer,82.6
2016,Chui,,Non-communicable disease: Cancer,94.3
2017,Chui,,Non-communicable disease: Cancer,91.3
2018,Chui,,Non-communicable disease: Cancer,97.487653
2019,Chui,,Non-communicable disease: Cancer,96.580747
2020,Chui,,Non-communicable disease: Cancer,93.3
2007,Chui,Male,Non-communicable disease: Cancer,98.326898
2008,Chui,Male,Non-communicable disease: Cancer,93.646338
2009,Chui,Male,Non-communicable disease: Cancer,97.394384
2010,Chui,Male,Non-communicable disease: Cancer,98.545637
2011,Chui,Male,Non-communicable disease: Cancer,93.913043
2012,Chui,Male,Non-communicable disease: Cancer,98.115977
2013,Chui,Male,Non-communicable disease: Cancer,98.919568
2014,Chui,Male,Non-communicable disease: Cancer,102.73327
2015,Chui,Male,Non-communicable disease: Cancer,87.338262
2016,Chui,Male,Non-communicable disease: Cancer,104.440417
2017,Chui,Male,Non-communicable disease: Cancer,99.599822
2018,Chui,Male,Non-communicable disease: Cancer,105.538596
2019,Chui,Male,Non-communicable disease: Cancer,101.452371
2007,Chui,Female,Non-communicable disease: Cancer,78.163772
2008,Chui,Female,Non-communicable disease: Cancer,88.82874
2009,Chui,Female,Non-communicable disease: Cancer,93.261719
2010,Chui,Female,Non-communicable disease: Cancer,80.910853
2011,Chui,Female,Non-communicable disease: Cancer,90.100913
2012,Chui,Female,Non-communicable disease: Cancer,85.111427
2013,Chui,Female,Non-communicable disease: Cancer,77.997672
2014,Chui,Female,Non-communicable disease: Cancer,82.952468
2015,Chui,Female,Non-communicable disease: Cancer,78.009415
2016,Chui,Female,Non-communicable disease: Cancer,84.414157
2017,Chui,Female,Non-communicable disease: Cancer,83.243476
2018,Chui,Female,Non-communicable disease: Cancer,89.678511
2019,Chui,Female,Non-communicable disease: Cancer,91.851545
2007,Bishkek (city),,Non-communicable disease: Cancer,82.3
2008,Bishkek (city),,Non-communicable disease: Cancer,82.6
2009,Bishkek (city),,Non-communicable disease: Cancer,75.8
2010,Bishkek (city),,Non-communicable disease: Cancer,78.1
2011,Bishkek (city),,Non-communicable disease: Cancer,69.8
2012,Bishkek (city),,Non-communicable disease: Cancer,67.4
2013,Bishkek (city),,Non-communicable disease: Cancer,69.3
2014,Bishkek (city),,Non-communicable disease: Cancer,73.1
2015,Bishkek (city),,Non-communicable disease: Cancer,76.6
2016,Bishkek (city),,Non-communicable disease: Cancer,66.5
2017,Bishkek (city),,Non-communicable disease: Cancer,69.1
2018,Bishkek (city),,Non-communicable disease: Cancer,69.281561
2019,Bishkek (city),,Non-communicable disease: Cancer,64.193734
2020,Bishkek (city),,Non-communicable disease: Cancer,68.8
2007,Bishkek (city),Male,Non-communicable disease: Cancer,84.714549
2008,Bishkek (city),Male,Non-communicable disease: Cancer,86.525932
2009,Bishkek (city),Male,Non-communicable disease: Cancer,80.16444
2010,Bishkek (city),Male,Non-communicable disease: Cancer,79.312958
2011,Bishkek (city),Male,Non-communicable disease: Cancer,71.020611
2012,Bishkek (city),Male,Non-communicable disease: Cancer,72.957198
2013,Bishkek (city),Male,Non-communicable disease: Cancer,70.037987
2014,Bishkek (city),Male,Non-communicable disease: Cancer,74.12555
2015,Bishkek (city),Male,Non-communicable disease: Cancer,76.627486
2016,Bishkek (city),Male,Non-communicable disease: Cancer,65.121413
2017,Bishkek (city),Male,Non-communicable disease: Cancer,68.593615
2018,Bishkek (city),Male,Non-communicable disease: Cancer,66.947368
2019,Bishkek (city),Male,Non-communicable disease: Cancer,63.74257
2007,Bishkek (city),Female,Non-communicable disease: Cancer,80.210238
2008,Bishkek (city),Female,Non-communicable disease: Cancer,79.125338
2009,Bishkek (city),Female,Non-communicable disease: Cancer,71.952032
2010,Bishkek (city),Female,Non-communicable disease: Cancer,76.990376
2011,Bishkek (city),Female,Non-communicable disease: Cancer,68.690784
2012,Bishkek (city),Female,Non-communicable disease: Cancer,62.539615
2013,Bishkek (city),Female,Non-communicable disease: Cancer,68.609217
2014,Bishkek (city),Female,Non-communicable disease: Cancer,72.150364
2015,Bishkek (city),Female,Non-communicable disease: Cancer,76.557864
2016,Bishkek (city),Female,Non-communicable disease: Cancer,67.583269
2017,Bishkek (city),Female,Non-communicable disease: Cancer,69.560273
2018,Bishkek (city),Female,Non-communicable disease: Cancer,71.335927
2019,Bishkek (city),Female,Non-communicable disease: Cancer,64.592003
2007,Osh (city),,Non-communicable disease: Cancer,46.8
2008,Osh (city),,Non-communicable disease: Cancer,50.5
2009,Osh (city),,Non-communicable disease: Cancer,50.3
2010,Osh (city),,Non-communicable disease: Cancer,46.2
2011,Osh (city),,Non-communicable disease: Cancer,58.2
2012,Osh (city),,Non-communicable disease: Cancer,50.4
2013,Osh (city),,Non-communicable disease: Cancer,64.7
2014,Osh (city),,Non-communicable disease: Cancer,52.3
2015,Osh (city),,Non-communicable disease: Cancer,51.3
2016,Osh (city),,Non-communicable disease: Cancer,54.9
2017,Osh (city),,Non-communicable disease: Cancer,53.3
2018,Osh (city),,Non-communicable disease: Cancer,65.283917
2019,Osh (city),,Non-communicable disease: Cancer,58.823529
2020,Osh (city),,Non-communicable disease: Cancer,52.0
2007,Osh (city),Male,Non-communicable disease: Cancer,50.447518
2008,Osh (city),Male,Non-communicable disease: Cancer,61.538462
2009,Osh (city),Male,Non-communicable disease: Cancer,61.191626
2010,Osh (city),Male,Non-communicable disease: Cancer,54.20712
2011,Osh (city),Male,Non-communicable disease: Cancer,70.96248
2012,Osh (city),Male,Non-communicable disease: Cancer,56.542811
2013,Osh (city),Male,Non-communicable disease: Cancer,67.300079
2014,Osh (city),Male,Non-communicable disease: Cancer,48.875097
2015,Osh (city),Male,Non-communicable disease: Cancer,50.911854
2016,Osh (city),Male,Non-communicable disease: Cancer,64.635958
2017,Osh (city),Male,Non-communicable disease: Cancer,44.234953
2018,Osh (city),Male,Non-communicable disease: Cancer,73.033708
2019,Osh (city),Male,Non-communicable disease: Cancer,55.967633
2007,Osh (city),Female,Non-communicable disease: Cancer,43.478261
2008,Osh (city),Female,Non-communicable disease: Cancer,40.298507
2009,Osh (city),Female,Non-communicable disease: Cancer,40.178571
2010,Osh (city),Female,Non-communicable disease: Cancer,38.834951
2011,Osh (city),Female,Non-communicable disease: Cancer,46.546547
2012,Osh (city),Female,Non-communicable disease: Cancer,44.676098
2013,Osh (city),Female,Non-communicable disease: Cancer,62.271062
2014,Osh (city),Female,Non-communicable disease: Cancer,55.475504
2015,Osh (city),Female,Non-communicable disease: Cancer,51.626591
2016,Osh (city),Female,Non-communicable disease: Cancer,45.769764
2017,Osh (city),Female,Non-communicable disease: Cancer,61.694915
2018,Osh (city),Female,Non-communicable disease: Cancer,58.009229
2019,Osh (city),Female,Non-communicable disease: Cancer,61.509195
2007,,,Non-communicable disease: Diabetes,6.890137
2008,,,Non-communicable disease: Diabetes,6.843778
2009,,,Non-communicable disease: Diabetes,6.222949
2010,,,Non-communicable disease: Diabetes,5.7
2011,,,Non-communicable disease: Diabetes,5.802673
2012,,,Non-communicable disease: Diabetes,5.332144
2013,,,Non-communicable disease: Diabetes,6.9
2014,,,Non-communicable disease: Diabetes,7.2
2015,,,Non-communicable disease: Diabetes,6.0
2016,,,Non-communicable disease: Diabetes,6.7
2017,,,Non-communicable disease: Diabetes,6.8
2018,,,Non-communicable disease: Diabetes,7.3
2019,,,Non-communicable disease: Diabetes,7.0
2020,,,Non-communicable disease: Diabetes,9.8
2007,,Male,Non-communicable disease: Diabetes,6.464522
2008,,Male,Non-communicable disease: Diabetes,5.869797
2009,,Male,Non-communicable disease: Diabetes,5.420258
2010,,Male,Non-communicable disease: Diabetes,4.945709
2011,,Male,Non-communicable disease: Diabetes,5.141955
2012,,Male,Non-communicable disease: Diabetes,5.053604
2013,,Male,Non-communicable disease: Diabetes,5.658309
2014,,Male,Non-communicable disease: Diabetes,6.720477
2015,,Male,Non-communicable disease: Diabetes,5.188375
2016,,Male,Non-communicable disease: Diabetes,5.412226
2017,,Male,Non-communicable disease: Diabetes,6.184493
2018,,Male,Non-communicable disease: Diabetes,6.378161
2019,,Male,Non-communicable disease: Diabetes,6.461481
2020,,Male,Non-communicable disease: Diabetes,9.0
2007,,Female,Non-communicable disease: Diabetes,7.304465
2008,,Female,Non-communicable disease: Diabetes,7.791919
2009,,Female,Non-communicable disease: Diabetes,7.005061
2010,,Female,Non-communicable disease: Diabetes,6.416066
2011,,Female,Non-communicable disease: Diabetes,6.446991
2012,,Female,Non-communicable disease: Diabetes,5.604117
2013,,Female,Non-communicable disease: Diabetes,8.090727
2014,,Female,Non-communicable disease: Diabetes,7.595538
2015,,Female,Non-communicable disease: Diabetes,6.847721
2016,,Female,Non-communicable disease: Diabetes,7.985398
2017,,Female,Non-communicable disease: Diabetes,7.388926
2018,,Female,Non-communicable disease: Diabetes,8.251239
2019,,Female,Non-communicable disease: Diabetes,7.623966
2020,,Female,Non-communicable disease: Diabetes,10.7
2007,Batken,,Non-communicable disease: Diabetes,8.072175
2008,Batken,,Non-communicable disease: Diabetes,5.651048
2009,Batken,,Non-communicable disease: Diabetes,4.64684
2010,Batken,,Non-communicable disease: Diabetes,4.115226
2011,Batken,,Non-communicable disease: Diabetes,3.146775
2012,Batken,,Non-communicable disease: Diabetes,5.509035
2013,Batken,,Non-communicable disease: Diabetes,4.522938
2014,Batken,,Non-communicable disease: Diabetes,5.892256
2015,Batken,,Non-communicable disease: Diabetes,6.165228
2016,Batken,,Non-communicable disease: Diabetes,7.026701
2017,Batken,,Non-communicable disease: Diabetes,6.096362
2018,Batken,,Non-communicable disease: Diabetes,5.390836
2019,Batken,,Non-communicable disease: Diabetes,7.341867
2020,Batken,,Non-communicable disease: Diabetes,8.3
2007,Batken,Male,Non-communicable disease: Diabetes,7.940215
2008,Batken,Male,Non-communicable disease: Diabetes,2.777778
2009,Batken,Male,Non-communicable disease: Diabetes,3.652968
