Year,SERIES,Reference area,GeoCode,Value
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.0
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,97.4
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,97.7
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,98.4
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,95.6
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.8
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,95.1
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,91.7
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,96.281062
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,96.444387
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,83.697508
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,89.338843
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.8
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.9
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.2
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,97.4
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.7
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.1
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,98.7
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.9
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.7
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,96.8
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,97.7
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,99.425085
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,97.981883
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,93.662127
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh (city),KG21,87.955556
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,96.8
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,97.2
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,94.2
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,92.0
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,95.083643
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,88.782542
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),,,89.631204
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,97.3
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,99.3
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,96.3
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,94.6
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,99.597512
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,83.440107
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Batken,KG05,89.204466
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,97.3
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,95.9
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,94.5
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,93.8
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,90.089857
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,88.195819
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Jalal-Abad,KG03,84.751749
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,98.2
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,96.4
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,96.3
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,95.0
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,94.992818
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,88.268865
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Issyk-Kul,KG02,96.201681
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,96.8
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,96.7
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,97.0
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,95.1
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,97.283381
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,91.250904
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Naryn,KG04,95.567145
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,96.3
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,98.8
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,97.2
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,92.1
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,98.41451
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,95.711275
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh,KG06,91.330444
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,97.2
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,96.1
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,94.0
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,96.0
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,94.297841
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,95.762224
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Talas,KG07,91.368262
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,97.6
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,98.7
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,92.6
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,92.1
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,94.916128
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,90.955903
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Chui,KG08,92.345374
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,95.0
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,94.8
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,90.4
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,83.4
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,93.823491
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,79.378126
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Bishkek (city),KG11,88.660287
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,97.9
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,96.8
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,90.0
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,93.9
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,95.896254
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,87.352779
2021,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Osh (city),KG21,84.944444
