Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,COMPOSITE_BREAKDOWN,GeoCode,Value
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Female,,,,,,,0.8
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Female,,,,,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Batken,,,,,,,KG05,0.5
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Batken,,,,,,,KG05,0.6
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Batken,,,,,,,KG05,0.1
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Batken,,,,,,,KG05,0.4
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.3
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.0
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Jalal-Abad,,,,,,,KG03,0.0
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,0.1
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,0.2
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,0.4
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Issyk-Kul,,,,,,,KG02,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,1.4
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,1.1
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,1.2
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Naryn,,,,,,,KG04,0.9
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh,,,,,,,KG06,1.4
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh,,,,,,,KG06,1.7
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh,,,,,,,KG06,2.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh,,,,,,,KG06,0.1
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Talas,,,,,,,KG07,0.0
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Talas,,,,,,,KG07,0.3
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Talas,,,,,,,KG07,1.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Talas,,,,,,,KG07,0.0
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Chui,,,,,,,KG08,1.1
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Chui,,,,,,,KG08,1.4
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Chui,,,,,,,KG08,1.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Chui,,,,,,,KG08,2.2
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,1.2
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,0.3
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,0.1
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Bishkek (city),,,,,,,KG11,0.5
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,0.3
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,2.5
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,0.7
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,1.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,under 6 years old,,,,,,0.5
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,under 6 years old,,,,,,0.8
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,under 6 years old,,,,,,0.7
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,under 6 years old,,,,,,0.3
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,0.7
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,0.7
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,0.6
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,0.2
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,0.5
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,0.3
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,0.7
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,0.5
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,0.8
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,0.8
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,0.6
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,0.5
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,1.9
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,2.1
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,1.6
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,1.9
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Primary education,,,0.6
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Primary education,,,0.8
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Primary education,,,0.6
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Primary education,,,0.4
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,1.5
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,1.9
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,1.7
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,1.1
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,0.7
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,0.8
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,0.8
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,1.1
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,1.1
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,0.9
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,1.2
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,0.9
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,0.6
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,0.4
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,0.4
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,0.5
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,0.4
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,0.1
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 2,,,,0.4
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 2,,,,0.2
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 2,,,,0.1
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 2,,,,0.7
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 3,,,,0.2
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 3,,,,0.4
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 3,,,,0.3
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 3,,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 4,,,,1.3
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 4,,,,1.2
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 4,,,,1.9
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 4,,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,1.9
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,2.0
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,1.1
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,1.1
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without children,,1.6
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without children,,1.2
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without children,,1.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without children,,2.3
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with children,,0.7
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with children,,0.8
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with children,,0.7
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with children,,0.3
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,0.8
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,0.5
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,0.6
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,0.4
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,0.8
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,1.4
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,1.1
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,1.0
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,7.0
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,4.9
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,3.2
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,5.7
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: poor,,0.5
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: poor,,0.1
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: poor,,0.1
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: poor,,0.1
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.0
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.0
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.0
