Year,SERIES,Reference area,Sex,GeoCode,Value
2009,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.046213
2010,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,130.175737
2011,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,85.629376
2012,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.400416
2013,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,65.033601
2014,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,20.875737
2016,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,25.440114
2017,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.756736
2018,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.567309
2019,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.828629
2020,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,57.882551
2021,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.315756
2007,Fatal occupational injuries among employees (rate),,,,4.792995
2008,Fatal occupational injuries among employees (rate),,,,4.826447
2009,Fatal occupational injuries among employees (rate),,,,5.057444
2010,Fatal occupational injuries among employees (rate),,,,6.148875
2011,Fatal occupational injuries among employees (rate),,,,4.517259
2012,Fatal occupational injuries among employees (rate),,,,4.781357
2013,Fatal occupational injuries among employees (rate),,,,5.835186
2014,Fatal occupational injuries among employees (rate),,,,3.602017
2015,Fatal occupational injuries among employees (rate),,,,4.103205
2016,Fatal occupational injuries among employees (rate),,,,5.048044
2017,Fatal occupational injuries among employees (rate),,,,6.691124
2018,Fatal occupational injuries among employees (rate),,,,1.516867
2019,Fatal occupational injuries among employees (rate),,,,2.932863
2020,Fatal occupational injuries among employees (rate),,,,2.042355
2021,Fatal occupational injuries among employees (rate),,,,3.764061
2007,Fatal occupational injuries among employees (rate),,Female,,0.777454
2008,Fatal occupational injuries among employees (rate),,Female,,0.411186
2009,Fatal occupational injuries among employees (rate),,Female,,1.629361
2010,Fatal occupational injuries among employees (rate),,Female,,0.825627
2011,Fatal occupational injuries among employees (rate),,Female,,0.403146
2013,Fatal occupational injuries among employees (rate),,Female,,0.764608
2014,Fatal occupational injuries among employees (rate),,Female,,1.134662
2015,Fatal occupational injuries among employees (rate),,Female,,0.729733
2016,Fatal occupational injuries among employees (rate),,Female,,0.364109
2018,Fatal occupational injuries among employees (rate),,Female,,0.355105
2019,Fatal occupational injuries among employees (rate),,Female,,0.0
2020,Fatal occupational injuries among employees (rate),,Female,,0.353173
2021,Fatal occupational injuries among employees (rate),,Female,,0.356425
2007,Fatal occupational injuries among employees (rate),,Male,,9.433242
2008,Fatal occupational injuries among employees (rate),,Male,,9.428221
2009,Fatal occupational injuries among employees (rate),,Male,,8.731604
2010,Fatal occupational injuries among employees (rate),,Male,,11.770296
2011,Fatal occupational injuries among employees (rate),,Male,,8.78764
2012,Fatal occupational injuries among employees (rate),,Male,,9.937867
2013,Fatal occupational injuries among employees (rate),,Male,,11.469205
2014,Fatal occupational injuries among employees (rate),,Male,,6.37419
2015,Fatal occupational injuries among employees (rate),,Male,,7.992529
2016,Fatal occupational injuries among employees (rate),,Male,,10.398988
2017,Fatal occupational injuries among employees (rate),,Male,,14.357973
2018,Fatal occupational injuries among employees (rate),,Male,,2.84789
2019,Fatal occupational injuries among employees (rate),,Male,,6.237574
2020,Fatal occupational injuries among employees (rate),,Male,,3.914706
2021,Fatal occupational injuries among employees (rate),,Male,,7.576452
2007,Fatal occupational injuries among employees (rate),Batken,,KG05,3.728144
2008,Fatal occupational injuries among employees (rate),Batken,,KG05,4.071661
2009,Fatal occupational injuries among employees (rate),Batken,,KG05,21.645959
2010,Fatal occupational injuries among employees (rate),Batken,,KG05,15.755475
2011,Fatal occupational injuries among employees (rate),Batken,,KG05,13.845621
2012,Fatal occupational injuries among employees (rate),Batken,,KG05,10.351253
2013,Fatal occupational injuries among employees (rate),Batken,,KG05,12.475439
2014,Fatal occupational injuries among employees (rate),Batken,,KG05,2.86574
2015,Fatal occupational injuries among employees (rate),Batken,,KG05,17.705905
2016,Fatal occupational injuries among employees (rate),Batken,,KG05,20.716188
2017,Fatal occupational injuries among employees (rate),Batken,,KG05,11.266019
2018,Fatal occupational injuries among employees (rate),Batken,,KG05,2.849977
2019,Fatal occupational injuries among employees (rate),Batken,,KG05,14.151477
2020,Fatal occupational injuries among employees (rate),Batken,,KG05,8.238816
2021,Fatal occupational injuries among employees (rate),Batken,,KG05,8.301511
2007,Fatal occupational injuries among employees (rate),Batken,Male,KG05,7.11187
2008,Fatal occupational injuries among employees (rate),Batken,Male,KG05,7.190106
2009,Fatal occupational injuries among employees (rate),Batken,Male,KG05,41.52479
2010,Fatal occupational injuries among employees (rate),Batken,Male,KG05,28.176951
2011,Fatal occupational injuries among employees (rate),Batken,Male,KG05,26.668445
2012,Fatal occupational injuries among employees (rate),Batken,Male,KG05,20.19794
2013,Fatal occupational injuries among employees (rate),Batken,Male,KG05,23.565453
2014,Fatal occupational injuries among employees (rate),Batken,Male,KG05,6.255865
2015,Fatal occupational injuries among employees (rate),Batken,Male,KG05,38.56289
2016,Fatal occupational injuries among employees (rate),Batken,Male,KG05,43.859649
2017,Fatal occupational injuries among employees (rate),Batken,Male,KG05,24.816975
2018,Fatal occupational injuries among employees (rate),Batken,Male,KG05,6.485505
2019,Fatal occupational injuries among employees (rate),Batken,Male,KG05,32.036907
2020,Fatal occupational injuries among employees (rate),Batken,Male,KG05,18.121413
2021,Fatal occupational injuries among employees (rate),Batken,Male,KG05,18.371096
2007,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.583972
2008,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,4.534393
2009,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.352498
2010,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,1.65191
2011,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,4.722773
2012,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,9.200055
2013,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,9.390847
2014,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.023614
2015,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,2.776081
2016,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,1.395557
2017,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,13.231714
2020,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,2.648305
2021,Fatal occupational injuries among employees (rate),Jalal-Abad,,KG03,3.716873
2013,Fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.833263
2007,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,7.714264
2008,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,9.484367
2009,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,7.03705
2010,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,3.454351
2011,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,10.300783
2012,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,20.34381
2013,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,17.484352
2014,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,6.547716
2015,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,6.146848
2016,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,3.084611
2017,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,29.022521
2020,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,5.850006
2021,Fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,8.429334
2007,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,13.136807
2008,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.646273
2009,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,16.290182
2010,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.840063
2011,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.596189
2012,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,5.463287
2014,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.655901
2015,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.797879
2016,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,10.529918
2017,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.956927
2018,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.535947
2019,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.904722
2020,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,5.03918
2021,Fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,5.073438
2007,Fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.253204
2009,Fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,16.760713
2010,Fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.038799
2007,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,21.024967
2008,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.302789
2009,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,15.845349
2010,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,10.858353
2011,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.352746
2012,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.813349
2013,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,0.0
2014,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.590652
2015,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,16.993316
2016,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,22.840176
2017,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,17.059994
2018,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.593467
2019,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,17.360106
2020,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.036918
2021,Fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.222085
2007,Fatal occupational injuries among employees (rate),Naryn,,KG04,17.955739
2008,Fatal occupational injuries among employees (rate),Naryn,,KG04,4.448003
2009,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.653139
2010,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.600301
2011,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.443094
2012,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.285691
2013,Fatal occupational injuries among employees (rate),Naryn,,KG04,8.224022
2014,Fatal occupational injuries among employees (rate),Naryn,,KG04,16.345879
2015,Fatal occupational injuries among employees (rate),Naryn,,KG04,3.700278
2016,Fatal occupational injuries among employees (rate),Naryn,,KG04,19.647137
2017,Fatal occupational injuries among employees (rate),Naryn,,KG04,19.320685
2019,Fatal occupational injuries among employees (rate),Naryn,,KG04,7.69586
2021,Fatal occupational injuries among employees (rate),Naryn,,KG04,3.808073
2008,Fatal occupational injuries among employees (rate),Naryn,Female,KG04,8.058667
2009,Fatal occupational injuries among employees (rate),Naryn,Female,KG04,7.907639
2010,Fatal occupational injuries among employees (rate),Naryn,Female,KG04,7.789375
2007,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,38.71842
2009,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,9.553836
2010,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,9.599693
2011,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.703825
2012,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.637592
2013,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.883958
2014,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,37.703836
2015,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,8.688097
2016,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,45.195697
2017,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,43.402778
2019,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,17.711654
2021,Fatal occupational injuries among employees (rate),Naryn,Male,KG04,8.744316
2007,Fatal occupational injuries among employees (rate),Osh,,KG06,0.0
2008,Fatal occupational injuries among employees (rate),Osh,,KG06,2.148043
2009,Fatal occupational injuries among employees (rate),Osh,,KG06,4.345181
2011,Fatal occupational injuries among employees (rate),Osh,,KG06,7.250755
2013,Fatal occupational injuries among employees (rate),Osh,,KG06,2.649638
2015,Fatal occupational injuries among employees (rate),Osh,,KG06,2.590741
2017,Fatal occupational injuries among employees (rate),Osh,,KG06,6.776751
2021,Fatal occupational injuries among employees (rate),Osh,,KG06,4.050551
2007,Fatal occupational injuries among employees (rate),Osh,Male,KG06,0.0
2008,Fatal occupational injuries among employees (rate),Osh,Male,KG06,4.880906
2009,Fatal occupational injuries among employees (rate),Osh,Male,KG06,11.227125
2011,Fatal occupational injuries among employees (rate),Osh,Male,KG06,17.884822
2013,Fatal occupational injuries among employees (rate),Osh,Male,KG06,6.378365
2015,Fatal occupational injuries among employees (rate),Osh,Male,KG06,6.510417
2017,Fatal occupational injuries among employees (rate),Osh,Male,KG06,16.669445
2021,Fatal occupational injuries among employees (rate),Osh,Male,KG06,9.977551
2007,Fatal occupational injuries among employees (rate),Talas,,KG07,5.755727
2008,Fatal occupational injuries among employees (rate),Talas,,KG07,5.701579
2009,Fatal occupational injuries among employees (rate),Talas,,KG07,5.350455
2010,Fatal occupational injuries among employees (rate),Talas,,KG07,5.483659
2011,Fatal occupational injuries among employees (rate),Talas,,KG07,10.582571
2012,Fatal occupational injuries among employees (rate),Talas,,KG07,5.259006
2013,Fatal occupational injuries among employees (rate),Talas,,KG07,30.616931
2014,Fatal occupational injuries among employees (rate),Talas,,KG07,10.404745
2015,Fatal occupational injuries among employees (rate),Talas,,KG07,10.041169
2017,Fatal occupational injuries among employees (rate),Talas,,KG07,5.102301
2018,Fatal occupational injuries among employees (rate),Talas,,KG07,4.923198
2019,Fatal occupational injuries among employees (rate),Talas,,KG07,4.641233
2021,Fatal occupational injuries among employees (rate),Talas,,KG07,9.290227
2021,Fatal occupational injuries among employees (rate),Talas,Female,KG07,9.002521
2007,Fatal occupational injuries among employees (rate),Talas,Male,KG07,13.294337
2008,Fatal occupational injuries among employees (rate),Talas,Male,KG07,13.486177
2009,Fatal occupational injuries among employees (rate),Talas,Male,KG07,12.292563
2010,Fatal occupational injuries among employees (rate),Talas,Male,KG07,11.875074
2011,Fatal occupational injuries among employees (rate),Talas,Male,KG07,23.419204
2012,Fatal occupational injuries among employees (rate),Talas,Male,KG07,11.546011
2013,Fatal occupational injuries among employees (rate),Talas,Male,KG07,66.55574
2014,Fatal occupational injuries among employees (rate),Talas,Male,KG07,22.606533
2015,Fatal occupational injuries among employees (rate),Talas,Male,KG07,21.746222
2017,Fatal occupational injuries among employees (rate),Talas,Male,KG07,11.318619
2018,Fatal occupational injuries among employees (rate),Talas,Male,KG07,10.5241
2019,Fatal occupational injuries among employees (rate),Talas,Male,KG07,10.310341
2021,Fatal occupational injuries among employees (rate),Talas,Male,KG07,9.596929
2007,Fatal occupational injuries among employees (rate),Chui,,KG08,6.682348
2008,Fatal occupational injuries among employees (rate),Chui,,KG08,9.966399
2010,Fatal occupational injuries among employees (rate),Chui,,KG08,4.774409
2011,Fatal occupational injuries among employees (rate),Chui,,KG08,3.330447
2012,Fatal occupational injuries among employees (rate),Chui,,KG08,6.30517
2014,Fatal occupational injuries among employees (rate),Chui,,KG08,4.936728
2015,Fatal occupational injuries among employees (rate),Chui,,KG08,3.206927
2016,Fatal occupational injuries among employees (rate),Chui,,KG08,3.181016
2017,Fatal occupational injuries among employees (rate),Chui,,KG08,3.310107
2019,Fatal occupational injuries among employees (rate),Chui,,KG08,1.539219
2020,Fatal occupational injuries among employees (rate),Chui,,KG08,3.025764
2021,Fatal occupational injuries among employees (rate),Chui,,KG08,1.581253
2007,Fatal occupational injuries among employees (rate),Chui,Female,KG08,2.70966
2011,Fatal occupational injuries among employees (rate),Chui,Female,KG08,3.153977
2014,Fatal occupational injuries among employees (rate),Chui,Female,KG08,9.577932
2015,Fatal occupational injuries among employees (rate),Chui,Female,KG08,6.113964
2020,Fatal occupational injuries among employees (rate),Chui,Female,KG08,3.017046
2021,Fatal occupational injuries among employees (rate),Chui,Female,KG08,0.0
2007,Fatal occupational injuries among employees (rate),Chui,Male,KG08,10.548801
2008,Fatal occupational injuries among employees (rate),Chui,Male,KG08,19.312476
2010,Fatal occupational injuries among employees (rate),Chui,Male,KG08,9.819967
2011,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.527835
2012,Fatal occupational injuries among employees (rate),Chui,Male,KG08,13.373901
2016,Fatal occupational injuries among employees (rate),Chui,Male,KG08,6.325911
2017,Fatal occupational injuries among employees (rate),Chui,Male,KG08,6.583712
2019,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.081379
2020,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.034533
2021,Fatal occupational injuries among employees (rate),Chui,Male,KG08,3.140112
2007,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.915843
2008,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.29511
2009,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.061062
2010,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,7.233404
2011,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.298164
2012,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.218414
2013,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.875561
2014,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.662704
2015,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.669542
2016,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,3.29857
2017,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.162723
2018,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.126042
2019,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.024005
2020,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,1.065945
2021,Fatal occupational injuries among employees (rate),Bishkek (city),,KG11,2.281672
2013,Fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,1.07118
2016,Fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,1.059558
2018,Fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,1.017491
2007,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.280822
2008,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,6.68342
2009,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,6.186434
2010,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,14.513261
2011,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.34967
2012,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.50121
2013,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,6.875688
2014,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,3.41328
2015,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,3.486669
2016,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,5.71311
2017,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.530781
2018,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,3.338452
2019,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.205612
2020,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,2.141626
2021,Fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,4.521
2007,Fatal occupational injuries among employees (rate),Osh (city),,KG21,5.264266
2008,Fatal occupational injuries among employees (rate),Osh (city),,KG21,7.598784
2009,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.618418
2010,Fatal occupational injuries among employees (rate),Osh (city),,KG21,7.900766
2011,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.629849
2012,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.666667
2013,Fatal occupational injuries among employees (rate),Osh (city),,KG21,8.157938
2014,Fatal occupational injuries among employees (rate),Osh (city),,KG21,5.178932
2015,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.512879
2016,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.492274
2017,Fatal occupational injuries among employees (rate),Osh (city),,KG21,7.657554
2018,Fatal occupational injuries among employees (rate),Osh (city),,KG21,2.617458
2021,Fatal occupational injuries among employees (rate),Osh (city),,KG21,5.082076
2007,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.292301
2008,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.067048
2009,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.023106
2010,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.020277
2011,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.037022
2012,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.200208
2013,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,16.2584
2014,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.437869
2015,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,4.948046
2016,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.088023
2017,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,16.135105
2018,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,5.567309
2021,Fatal occupational injuries among employees (rate),Osh (city),Male,KG21,10.6
