Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,GeoCode,Показатель,Местность,Территория,Возраст,Образование матери,Функциональные трудности у ребенка,Функциональные трудности у матери,Квинтиль индекса благосостояния,Value
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Высшее,,,,60.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,Есть,,,39.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,Есть,,,44.9
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,Нет,,,52.6
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,Нет,,,57.7
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Есть,,47.9
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Нет,,52.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Нет,,55.2
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,Нет информации,,49.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Беднейший,50.8
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Беднейший,57.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Второй,42.6
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Второй,50.8
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Средний,52.1
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Средний,54.3
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Четвертый,50.1
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Четвертый,59.2
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Богатейший,64.4
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,Богатейший,65.5
