Year,SERIES,Территория,GeoCode,Value
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,99.0
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,99.2
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,96.8
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,98.10916
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,99.619945
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,97.454999
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,93.789893
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,98.6
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,99.2
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,97.6
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,97.1
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,97.7
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,98.8
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,97.7
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,94.3
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,97.1
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,97.0
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,95.6
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,98.413291
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,95.974889
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,95.177033
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Таласская область,KG07,95.401432
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,99.1
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,97.4
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,98.7
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,96.4
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,97.1
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,96.4
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,99.3
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,96.5
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,98.6
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,95.0
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,96.3
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,97.43813
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,99.450649
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,97.514722
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Чуйская область,KG08,92.308749
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,99.8
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,99.9
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,98.6
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,99.0
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,97.4
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,97.7
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,98.4
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,95.6
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,99.8
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,95.1
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,91.7
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,96.281062
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,96.444387
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,83.697508
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Бишкек,KG11,89.338843
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,98.8
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,98.9
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,98.2
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,97.4
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,99.7
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,98.1
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,98.7
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,99.9
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,99.7
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,96.8
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,97.7
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,99.425085
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,97.981883
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,93.662127
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",г. Ош,KG21,87.955556
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,96.8
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,97.2
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,94.2
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,92.0
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,95.083643
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,88.782542
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),,,89.631204
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,97.3
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,99.3
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,96.3
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,94.6
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,99.597512
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,83.440107
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Баткенская область,KG05,89.204466
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,97.3
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,95.9
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,94.5
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,93.8
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,90.089857
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,88.195819
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Джалал-Абадская область,KG03,84.751749
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,98.2
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,96.4
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,96.3
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,95.0
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,94.992818
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,88.268865
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Иссык-Кульская область,KG02,96.201681
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,96.8
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,96.7
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,97.0
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,95.1
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,97.283381
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,91.250904
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Нарынская область,KG04,95.567145
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,96.3
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,98.8
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,97.2
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,92.1
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,98.41451
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,95.711275
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Ошская область,KG06,91.330444
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,97.2
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,96.1
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,94.0
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,96.0
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,94.297841
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,95.762224
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Таласская область,KG07,91.368262
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,97.6
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,98.7
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,92.6
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,92.1
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,94.916128
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,90.955903
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),Чуйская область,KG08,92.345374
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,95.0
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,94.8
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,90.4
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,83.4
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,93.823491
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,79.378126
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Бишкек,KG11,88.660287
2015,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,97.9
2016,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,96.8
2017,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,90.0
2018,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,93.9
2019,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,95.896254
2020,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,87.352779
2021,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3),г. Ош,KG21,84.944444
