Year,SERIES,Территория,Пол,Value
2012,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,5.333333
2013,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,35.351063
2014,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,12.94733
2015,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,2.512879
2016,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,12.46137
2017,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,5.105036
2018,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,2.617458
2019,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,7.705545
2020,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,33.273611
2009,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,16.408686
2010,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,33.337037
2011,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,5.502972
2013,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,5.457919
2014,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,5.139538
2015,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,5.105948
2020,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Женщины,9.967109
2007,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,15.438452
2008,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,40.178796
2009,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,10.046213
2010,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,130.175737
2011,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,85.629376
2012,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,10.400416
2013,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,65.033601
2014,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,20.875737
2016,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,25.440114
2017,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,10.756736
2018,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,5.567309
2019,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,15.828629
2020,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,Мужчины,57.882551
2007,Производственный травматизм со смертельным исходом среди работников (доля),,,4.792995
2008,Производственный травматизм со смертельным исходом среди работников (доля),,,4.826447
2009,Производственный травматизм со смертельным исходом среди работников (доля),,,5.057444
2010,Производственный травматизм со смертельным исходом среди работников (доля),,,6.148875
2011,Производственный травматизм со смертельным исходом среди работников (доля),,,4.517259
2012,Производственный травматизм со смертельным исходом среди работников (доля),,,4.781357
2013,Производственный травматизм со смертельным исходом среди работников (доля),,,5.835186
2014,Производственный травматизм со смертельным исходом среди работников (доля),,,3.602017
2015,Производственный травматизм со смертельным исходом среди работников (доля),,,4.103205
2016,Производственный травматизм со смертельным исходом среди работников (доля),,,5.048044
2017,Производственный травматизм со смертельным исходом среди работников (доля),,,6.691124
2018,Производственный травматизм со смертельным исходом среди работников (доля),,,1.516867
2019,Производственный травматизм со смертельным исходом среди работников (доля),,,2.932863
2020,Производственный травматизм со смертельным исходом среди работников (доля),,,2.042355
2007,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.777454
2008,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.411186
2009,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,1.629361
2010,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.825627
2011,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.403146
2013,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.764608
2014,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,1.134662
2015,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.729733
2016,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.364109
2018,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.355105
2019,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.0
2020,Производственный травматизм со смертельным исходом среди работников (доля),,Женщины,0.353173
2007,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,9.433242
2008,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,9.428221
2009,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,8.731604
2010,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,11.770296
2011,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,8.78764
2012,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,9.937867
2013,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,11.469205
2014,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,6.37419
2015,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,7.992529
2016,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,10.398988
2017,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,14.357973
2018,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,2.84789
2019,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,6.237574
2020,Производственный травматизм со смертельным исходом среди работников (доля),,Мужчины,3.914706
2007,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,3.728144
2008,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,4.071661
2009,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,21.645959
2010,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,15.755475
2011,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,13.845621
2012,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,10.351253
2013,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,12.475439
2014,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,2.86574
2015,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,17.705905
2016,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,20.716188
2017,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,11.266019
2018,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,2.849977
2019,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,14.151477
2020,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,,8.238816
2007,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,7.11187
2008,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,7.190106
2009,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,41.52479
2010,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,28.176951
2011,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,26.668445
2012,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,20.19794
2013,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,23.565453
2014,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,6.255865
2015,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,38.56289
2016,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,43.859649
2017,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,24.816975
2018,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,6.485505
2019,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,32.036907
2020,Производственный травматизм со смертельным исходом среди работников (доля),Баткенская область,Мужчины,18.121413
2007,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,3.583972
2008,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,4.534393
2009,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,3.352498
2010,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,1.65191
2011,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,4.722773
2012,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,9.200055
2013,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,9.390847
2014,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,3.023614
2015,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,2.776081
2016,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,1.395557
2017,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,13.231714
2020,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,,2.648305
2013,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,2.833263
2007,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,7.714264
2008,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,9.484367
2009,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,7.03705
2010,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,3.454351
2011,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,10.300783
2012,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,20.34381
2013,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,17.484352
2014,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,6.547716
2015,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,6.146848
2016,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,3.084611
2017,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,29.022521
2020,Производственный травматизм со смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,5.850006
2007,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,13.136807
2008,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,2.646273
2009,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,16.290182
2010,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,7.840063
2011,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,2.596189
2012,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,5.463287
2014,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,2.655901
2015,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,7.797879
2016,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,10.529918
2017,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,7.956927
2018,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,2.535947
2019,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,7.904722
2020,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,,5.03918
2007,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,5.253204
2009,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,16.760713
2010,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,5.038799
2007,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,21.024967
2008,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,5.302789
2009,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,15.845349
2010,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,10.858353
2011,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,5.352746
2012,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,11.813349
2013,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,0.0
2014,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,5.590652
2015,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,16.993316
2016,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,22.840176
2017,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,17.059994
2018,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,5.593467
2019,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,17.360106
2020,Производственный травматизм со смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,11.036918
2007,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,17.955739
2008,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,4.448003
2009,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,8.653139
2010,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,8.600301
2011,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,8.443094
2012,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,8.285691
2013,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,8.224022
2014,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,16.345879
2015,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,3.700278
2016,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,19.647137
2017,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,19.320685
2019,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,,7.69586
2008,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Женщины,8.058667
2009,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Женщины,7.907639
2010,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Женщины,7.789375
2007,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,38.71842
2009,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,9.553836
2010,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,9.599693
2011,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,18.703825
2012,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,18.637592
2013,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,18.883958
2014,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,37.703836
2015,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,8.688097
2016,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,45.195697
2017,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,43.402778
2019,Производственный травматизм со смертельным исходом среди работников (доля),Нарынская область,Мужчины,17.711654
2007,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,0.0
2008,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,2.148043
2009,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,4.345181
2011,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,7.250755
2013,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,2.649638
2015,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,2.590741
2017,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,,6.776751
2007,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,0.0
2008,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,4.880906
2009,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,11.227125
2011,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,17.884822
2013,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,6.378365
2015,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,6.510417
2017,Производственный травматизм со смертельным исходом среди работников (доля),Ошская область,Мужчины,16.669445
2007,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,5.755727
2008,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,5.701579
2009,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,5.350455
2010,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,5.483659
2011,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,10.582571
2012,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,5.259006
2013,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,30.616931
2014,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,10.404745
2015,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,10.041169
2017,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,5.102301
2018,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,4.923198
2019,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,,4.641233
2007,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,13.294337
2008,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,13.486177
2009,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,12.292563
2010,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,11.875074
2011,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,23.419204
2012,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,11.546011
2013,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,66.55574
2014,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,22.606533
2015,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,21.746222
2017,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,11.318619
2018,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,10.5241
2019,Производственный травматизм со смертельным исходом среди работников (доля),Таласская область,Мужчины,10.310341
2007,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,6.682348
2008,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,9.966399
2010,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,4.774409
2011,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,3.330447
2012,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,6.30517
2014,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,4.936728
2015,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,3.206927
2016,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,3.181016
2017,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,3.310107
2019,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,1.539219
2020,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,,3.025764
2007,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Женщины,2.70966
2011,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Женщины,3.153977
2014,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Женщины,9.577932
2015,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Женщины,6.113964
2020,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Женщины,3.017046
2007,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,10.548801
2008,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,19.312476
2010,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,9.819967
2011,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,3.527835
2012,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,13.373901
2016,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,6.325911
2017,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,6.583712
2019,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,3.081379
2020,Производственный травматизм со смертельным исходом среди работников (доля),Чуйская область,Мужчины,3.034533
2007,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,1.915843
2008,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,3.29511
2009,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,3.061062
2010,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,7.233404
2011,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,2.298164
2012,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,2.218414
2013,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,3.875561
2014,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,1.662704
2015,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,1.669542
2016,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,3.29857
2017,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,2.162723
2018,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,2.126042
2019,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,2.024005
2020,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,,1.065945
2013,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Женщины,1.07118
2016,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Женщины,1.059558
2018,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Женщины,1.017491
2007,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,4.280822
2008,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,6.68342
2009,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,6.186434
2010,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,14.513261
2011,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,4.34967
2012,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,4.50121
2013,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,6.875688
2014,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,3.41328
2015,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,3.486669
2016,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,5.71311
2017,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,4.530781
2018,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,3.338452
2019,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,4.205612
2020,Производственный травматизм со смертельным исходом среди работников (доля),г. Бишкек,Мужчины,2.141626
2007,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,5.264266
2008,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,7.598784
2009,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,2.618418
2010,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,7.900766
2011,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,2.629849
2012,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,2.666667
2013,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,8.157938
2014,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,5.178932
2015,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,2.512879
2016,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,2.492274
2017,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,7.657554
2018,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,,2.617458
2007,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,10.292301
2008,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,15.067048
2009,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,5.023106
2010,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,15.020277
2011,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,5.037022
2012,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,5.200208
2013,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,16.2584
2014,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,10.437869
2015,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,4.948046
2016,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,5.088023
2017,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,16.135105
2018,Производственный травматизм со смертельным исходом среди работников (доля),г. Ош,Мужчины,5.567309
