Year,Территория,Пол,COMPOSITE_BREAKDOWN,GeoCode,Value
2014,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,332.653893
2015,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,322.503008
2016,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,288.704581
2017,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,301.945525
2018,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,261.485452
2019,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,299.924642
2020,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,339.2
2021,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,347.9
2007,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,354.978355
2008,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,348.678602
2009,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,373.534338
2010,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,382.683983
2011,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,358.056266
2012,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,371.021776
2013,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,330.864198
2014,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,369.7411
2015,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,349.761526
2016,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,303.362002
2017,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,328.967643
2018,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,282.575758
2019,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,333.830104
2020,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,369.6
2021,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,361.7
2007,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,342.906876
2008,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,331.900258
2009,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,323.728814
2010,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,284.5953
2011,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,331.900258
2012,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,313.559322
2013,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,288.573812
2014,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,294.987675
2015,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,294.736842
2016,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,273.743017
2017,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,274.371069
2018,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,239.93808
2019,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,265.243902
2020,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,308.0
2021,Таласская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG07,333.8
2007,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,548.299655
2008,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,539.513863
2009,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,464.780253
2010,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,483.982257
2011,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,466.959814
2012,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,466.947622
2013,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,441.607565
2014,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,430.162413
2015,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,400.841962
2016,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,381.345532
2017,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,377.668309
2018,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,377.066781
2019,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,360.757496
2020,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,405.5
2021,Чуйская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,391.1
2007,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,539.869609
2008,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,517.515528
2009,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,462.686567
2010,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,476.930792
2011,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,455.652174
2012,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,452.654759
2013,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,441.296519
2014,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,416.116871
2015,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,394.177449
2016,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,383.552333
2017,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,376.389506
2018,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,366.986481
2019,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,368.005126
2020,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,398.8
2021,Чуйская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,400.7
2007,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,556.443798
2008,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,560.788083
2009,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,466.808914
2010,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,490.794574
2011,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,477.895243
2012,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,480.796586
2013,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,441.909197
2014,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,443.784278
2015,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,407.307779
2016,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,379.204221
2017,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,378.908777
2018,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,386.844332
2019,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,353.72175
2020,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,412.5
2021,Чуйская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG08,381.9
2007,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,353.534169
2008,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,321.877523
2009,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,288.411532
2010,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,298.32376
2011,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,305.385769
2012,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,297.003957
2013,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,269.583471
2014,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,272.638964
2015,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,253.191265
2016,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,242.521147
2017,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,242.433414
2018,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,232.778161
2019,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,237.36306
2020,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,254.0
2021,г. Бишкек,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,255.7
2007,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,349.07805
2008,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,320.089397
2009,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,282.587549
2010,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,283.910078
2011,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,297.243606
2012,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,287.451362
2013,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,264.482431
2014,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,269.168404
2015,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,243.218807
2016,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,230.684327
2017,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,237.057808
2018,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,229.473684
2019,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,237.753638
2020,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,253.1
2021,г. Бишкек,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,256.0
2007,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,357.392826
2008,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,323.428079
2009,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,293.471371
2010,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,310.804899
2011,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,312.446167
2012,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,305.30319
2013,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,274.023559
2014,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,275.666936
2015,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,261.918892
2016,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,252.904725
2017,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,247.156937
2018,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,235.686492
2019,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,237.018274
2020,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,254.9
2021,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG11,255.5
2007,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,247.76699
2008,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,292.02502
2009,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,274.312282
2010,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,267.961165
2011,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,281.860829
2012,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,298.721426
2013,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,266.8
2014,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,270.078446
2015,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,253.479853
2016,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,248.92396
2017,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,240.364401
2018,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,223.393404
2019,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,208.823529
2020,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,287.3
2021,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,258.9
2007,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,279.935275
2008,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,314.029364
2009,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,311.793215
2010,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,292.880259
2011,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,316.476346
2012,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,319.063005
2013,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,285.035629
2014,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,280.062064
2015,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,277.355623
2016,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,257.057949
2017,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,243.654822
2018,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,226.825843
2019,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,221.173297
2020,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,291.4
2021,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,271.5
2007,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,218.073189
2008,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,271.771772
2009,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,239.761727
2010,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,244.958925
2011,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,250.0
2012,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,279.970216
2013,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,249.81685
2014,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,260.806916
2015,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,231.25884
2016,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,241.331484
2017,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,237.288136
2018,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,220.171391
2019,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,197.209892
2020,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,283.5
2021,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG21,247.0
2007,,,Неинфекционные заболевания: Онкологические заболевания,,57.1
2008,,,Неинфекционные заболевания: Онкологические заболевания,,58.2
2009,,,Неинфекционные заболевания: Онкологические заболевания,,60.7
2010,,,Неинфекционные заболевания: Онкологические заболевания,,59.4
2011,,,Неинфекционные заболевания: Онкологические заболевания,,61.3
2012,,,Неинфекционные заболевания: Онкологические заболевания,,59.4
2013,,,Неинфекционные заболевания: Онкологические заболевания,,61.0
2014,,,Неинфекционные заболевания: Онкологические заболевания,,64.3
2015,,,Неинфекционные заболевания: Онкологические заболевания,,64.5
2016,,,Неинфекционные заболевания: Онкологические заболевания,,64.4
2017,,,Неинфекционные заболевания: Онкологические заболевания,,62.2
2018,,,Неинфекционные заболевания: Онкологические заболевания,,65.6
2019,,,Неинфекционные заболевания: Онкологические заболевания,,64.1
2020,,,Неинфекционные заболевания: Онкологические заболевания,,63.8
2021,,,Неинфекционные заболевания: Онкологические заболевания,,59.5
2007,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,60.758812
2008,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,60.756213
2009,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,66.097038
2010,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,63.699241
2011,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,65.633379
2012,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,63.242248
2013,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,63.974255
2014,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,69.006132
2015,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,66.804571
2016,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,69.296411
2017,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,65.881128
2018,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,67.25771
2019,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,66.331627
2020,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,67.6
2021,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,,62.7
2007,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,53.49116
2008,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,55.693666
2009,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,55.417003
2010,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,55.31591
2011,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,57.020057
2012,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,55.618215
2013,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,58.018118
2014,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,59.747041
2015,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,62.194595
2016,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,59.711222
2017,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,58.599623
2018,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,63.939261
2019,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,61.883243
2020,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,60.0
2021,,Женщины,Неинфекционные заболевания: Онкологические заболевания,,56.4
2007,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,32.3
2008,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,26.4
2009,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,30.2
2010,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,33.8
2011,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,33.9
2012,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,33.0
2013,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,32.1
2014,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,35.6
2015,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,42.3
2016,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,38.6
2017,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,32.6
2018,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,43.319214
2019,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,37.462349
2020,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,34.1
2021,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,KG05,37.8
2007,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,30.826716
2008,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,31.018519
2009,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,34.246575
2010,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,35.087719
2011,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,31.443756
2012,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,30.381944
2013,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,28.401865
2014,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,38.907285
2015,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,42.424242
2016,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,37.095501
2017,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,28.979907
2018,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,38.185255
2019,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,38.433112
2020,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,32.9
2021,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG05,31.9
2007,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,33.800097
2008,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,21.562051
2009,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,26.017029
2010,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,32.543003
2011,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,36.513008
2012,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,35.810206
2013,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,35.901926
2014,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,32.106164
2015,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,42.24174
2016,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,40.04904
2017,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,36.443732
2018,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,48.646528
2019,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,36.454336
2020,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,35.3
2021,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,KG05,43.8
2007,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,36.3
2008,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,42.0
2009,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,47.8
2010,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,46.3
2011,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,51.5
2012,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,47.3
2013,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,49.2
2014,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,51.0
2015,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,52.9
2016,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,54.2
2017,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,50.9
2018,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,49.480249
2019,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,50.87233
2020,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,50.5
2021,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,KG03,46.2
2007,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,KG03,37.037037
