Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,COMPOSITE_BREAKDOWN,GeoCode,Value
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,5.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,5.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,5.1
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,9.2
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,9.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,10.6
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,8.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,7.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,11.1
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,4.4
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,4.4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,3.7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,3.3
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,4.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,3.5
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,3.1
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,3.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,2.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,2.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,2.5
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без лиц старше трудоспособного возраста,,3.2
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,9.1
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,9.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,8.2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,7.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,7.9
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с лицами старше трудоспособного возраста,,7.1
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,22.6
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,26.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,31.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,26.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,22.3
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: только лица старше трудоспособного возраста,,21.9
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,2.4
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,2.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,2.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,1.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,1.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: бедные,,2.0
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.0
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.0
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,6.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,0.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,1.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: крайне бедные,,1.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,0.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,0.9
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,0.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,0.7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,0.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,0.3
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Городская,,,,,0.7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,0.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,1.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,1.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,Сельская,,,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,0.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,0.9
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,0.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Мужчины,,,,,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,0.9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,0.9
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,0.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,0.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,0.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,0.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,0.4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.0
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,0.1
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,0.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,0.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,1.4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,1.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,1.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,0.9
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,1.4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,1.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,2.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,0.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,0.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,0.3
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,1.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,0.0
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,1.1
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,1.4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,1.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,2.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,1.2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,0.3
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,0.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,0.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,0.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,2.5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,0.7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,1.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,0.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,0.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,0.7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,0.3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,0.7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,0.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,0.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,0.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,0.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,0.3
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,0.7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,0.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,0.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,0.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,0.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,0.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,1.9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,2.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,1.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,1.9
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,0.6
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,0.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,0.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,0.4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,1.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,1.9
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,1.7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,1.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,0.7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,0.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,0.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,1.1
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,1.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,0.9
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,1.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,0.9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,0.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,0.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,0.4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,0.5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,0.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,0.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,0.4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,0.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,0.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,0.7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,0.2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,0.4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,0.3
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,1.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,1.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,1.9
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,0.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,1.9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,2.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,1.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,1.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,1.6
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,1.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,1.0
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: без детей,,2.3
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,0.7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,0.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 25%) в общем объеме расходов или доходов домохозяйств,,,,,,,Тип домохозяйства: с детьми,,0.7
