Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value
2015,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,253.191265
2016,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,242.521147
2017,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,242.433414
2018,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,232.778161
2019,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,237.36306
2020,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,254.0
2021,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,255.7
2007,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,349.07805
2008,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,320.089397
2009,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,282.587549
2010,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,283.910078
2011,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,297.243606
2012,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,287.451362
2013,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,264.482431
2014,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,269.168404
2015,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,243.218807
2016,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,230.684327
2017,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,237.057808
2018,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,229.473684
2019,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,237.753638
2020,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,253.1
2021,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,KG11,256.0
2007,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,357.392826
2008,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,323.428079
2009,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,293.471371
2010,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,310.804899
2011,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,312.446167
2012,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,305.30319
2013,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,274.023559
2014,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,275.666936
2015,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,261.918892
2016,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,252.904725
2017,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,247.156937
2018,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,235.686492
2019,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,237.018274
2020,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,254.9
2021,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,KG11,255.5
2007,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,247.76699
2008,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,292.02502
2009,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,274.312282
2010,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,267.961165
2011,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,281.860829
2012,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,298.721426
2013,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,266.8
2014,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,270.078446
2015,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,253.479853
2016,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,248.92396
2017,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,240.364401
2018,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,223.393404
2019,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,208.823529
2020,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,287.3
2021,Osh (city),,Non-communicable disease: Cardiovascular disease,KG21,258.9
2007,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,279.935275
2008,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,314.029364
2009,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,311.793215
2010,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,292.880259
2011,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,316.476346
2012,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,319.063005
2013,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,285.035629
2014,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,280.062064
2015,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,277.355623
2016,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,257.057949
2017,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,243.654822
2018,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,226.825843
2019,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,221.173297
2020,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,291.4
2021,Osh (city),Male,Non-communicable disease: Cardiovascular disease,KG21,271.5
2007,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,218.073189
2008,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,271.771772
2009,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,239.761727
2010,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,244.958925
2011,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,250.0
2012,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,279.970216
2013,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,249.81685
2014,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,260.806916
2015,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,231.25884
2016,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,241.331484
2017,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,237.288136
2018,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,220.171391
2019,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,197.209892
2020,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,283.5
2021,Osh (city),Female,Non-communicable disease: Cardiovascular disease,KG21,247.0
2007,,,Non-communicable disease: Cancer,,57.1
2008,,,Non-communicable disease: Cancer,,58.2
2009,,,Non-communicable disease: Cancer,,60.7
2010,,,Non-communicable disease: Cancer,,59.4
2011,,,Non-communicable disease: Cancer,,61.3
2012,,,Non-communicable disease: Cancer,,59.4
2013,,,Non-communicable disease: Cancer,,61.0
2014,,,Non-communicable disease: Cancer,,64.3
2015,,,Non-communicable disease: Cancer,,64.5
2016,,,Non-communicable disease: Cancer,,64.4
2017,,,Non-communicable disease: Cancer,,62.2
2018,,,Non-communicable disease: Cancer,,65.6
2019,,,Non-communicable disease: Cancer,,64.1
2020,,,Non-communicable disease: Cancer,,63.8
2021,,,Non-communicable disease: Cancer,,59.5
2007,,Male,Non-communicable disease: Cancer,,60.758812
2008,,Male,Non-communicable disease: Cancer,,60.756213
2009,,Male,Non-communicable disease: Cancer,,66.097038
2010,,Male,Non-communicable disease: Cancer,,63.699241
2011,,Male,Non-communicable disease: Cancer,,65.633379
2012,,Male,Non-communicable disease: Cancer,,63.242248
2013,,Male,Non-communicable disease: Cancer,,63.974255
2014,,Male,Non-communicable disease: Cancer,,69.006132
2015,,Male,Non-communicable disease: Cancer,,66.804571
2016,,Male,Non-communicable disease: Cancer,,69.296411
2017,,Male,Non-communicable disease: Cancer,,65.881128
2018,,Male,Non-communicable disease: Cancer,,67.25771
2019,,Male,Non-communicable disease: Cancer,,66.331627
2020,,Male,Non-communicable disease: Cancer,,67.6
2021,,Male,Non-communicable disease: Cancer,,62.7
2007,,Female,Non-communicable disease: Cancer,,53.49116
2008,,Female,Non-communicable disease: Cancer,,55.693666
2009,,Female,Non-communicable disease: Cancer,,55.417003
2010,,Female,Non-communicable disease: Cancer,,55.31591
2011,,Female,Non-communicable disease: Cancer,,57.020057
2012,,Female,Non-communicable disease: Cancer,,55.618215
2013,,Female,Non-communicable disease: Cancer,,58.018118
2014,,Female,Non-communicable disease: Cancer,,59.747041
2015,,Female,Non-communicable disease: Cancer,,62.194595
2016,,Female,Non-communicable disease: Cancer,,59.711222
2017,,Female,Non-communicable disease: Cancer,,58.599623
2018,,Female,Non-communicable disease: Cancer,,63.939261
2019,,Female,Non-communicable disease: Cancer,,61.883243
2020,,Female,Non-communicable disease: Cancer,,60.0
2021,,Female,Non-communicable disease: Cancer,,56.4
2007,Batken,,Non-communicable disease: Cancer,KG05,32.3
2008,Batken,,Non-communicable disease: Cancer,KG05,26.4
2009,Batken,,Non-communicable disease: Cancer,KG05,30.2
2010,Batken,,Non-communicable disease: Cancer,KG05,33.8
2011,Batken,,Non-communicable disease: Cancer,KG05,33.9
2012,Batken,,Non-communicable disease: Cancer,KG05,33.0
2013,Batken,,Non-communicable disease: Cancer,KG05,32.1
2014,Batken,,Non-communicable disease: Cancer,KG05,35.6
2015,Batken,,Non-communicable disease: Cancer,KG05,42.3
2016,Batken,,Non-communicable disease: Cancer,KG05,38.6
2017,Batken,,Non-communicable disease: Cancer,KG05,32.6
2018,Batken,,Non-communicable disease: Cancer,KG05,43.319214
2019,Batken,,Non-communicable disease: Cancer,KG05,37.462349
2020,Batken,,Non-communicable disease: Cancer,KG05,34.1
2021,Batken,,Non-communicable disease: Cancer,KG05,37.8
2007,Batken,Male,Non-communicable disease: Cancer,KG05,30.826716
2008,Batken,Male,Non-communicable disease: Cancer,KG05,31.018519
2009,Batken,Male,Non-communicable disease: Cancer,KG05,34.246575
2010,Batken,Male,Non-communicable disease: Cancer,KG05,35.087719
2011,Batken,Male,Non-communicable disease: Cancer,KG05,31.443756
2012,Batken,Male,Non-communicable disease: Cancer,KG05,30.381944
2013,Batken,Male,Non-communicable disease: Cancer,KG05,28.401865
2014,Batken,Male,Non-communicable disease: Cancer,KG05,38.907285
2015,Batken,Male,Non-communicable disease: Cancer,KG05,42.424242
2016,Batken,Male,Non-communicable disease: Cancer,KG05,37.095501
2017,Batken,Male,Non-communicable disease: Cancer,KG05,28.979907
2018,Batken,Male,Non-communicable disease: Cancer,KG05,38.185255
2019,Batken,Male,Non-communicable disease: Cancer,KG05,38.433112
2020,Batken,Male,Non-communicable disease: Cancer,KG05,32.9
2021,Batken,Male,Non-communicable disease: Cancer,KG05,31.9
2007,Batken,Female,Non-communicable disease: Cancer,KG05,33.800097
2008,Batken,Female,Non-communicable disease: Cancer,KG05,21.562051
2009,Batken,Female,Non-communicable disease: Cancer,KG05,26.017029
2010,Batken,Female,Non-communicable disease: Cancer,KG05,32.543003
2011,Batken,Female,Non-communicable disease: Cancer,KG05,36.513008
2012,Batken,Female,Non-communicable disease: Cancer,KG05,35.810206
2013,Batken,Female,Non-communicable disease: Cancer,KG05,35.901926
2014,Batken,Female,Non-communicable disease: Cancer,KG05,32.106164
2015,Batken,Female,Non-communicable disease: Cancer,KG05,42.24174
2016,Batken,Female,Non-communicable disease: Cancer,KG05,40.04904
2017,Batken,Female,Non-communicable disease: Cancer,KG05,36.443732
2018,Batken,Female,Non-communicable disease: Cancer,KG05,48.646528
2019,Batken,Female,Non-communicable disease: Cancer,KG05,36.454336
2020,Batken,Female,Non-communicable disease: Cancer,KG05,35.3
2021,Batken,Female,Non-communicable disease: Cancer,KG05,43.8
2007,Jalal-Abad,,Non-communicable disease: Cancer,KG03,36.3
2008,Jalal-Abad,,Non-communicable disease: Cancer,KG03,42.0
2009,Jalal-Abad,,Non-communicable disease: Cancer,KG03,47.8
2010,Jalal-Abad,,Non-communicable disease: Cancer,KG03,46.3
2011,Jalal-Abad,,Non-communicable disease: Cancer,KG03,51.5
2012,Jalal-Abad,,Non-communicable disease: Cancer,KG03,47.3
2013,Jalal-Abad,,Non-communicable disease: Cancer,KG03,49.2
2014,Jalal-Abad,,Non-communicable disease: Cancer,KG03,51.0
2015,Jalal-Abad,,Non-communicable disease: Cancer,KG03,52.9
2016,Jalal-Abad,,Non-communicable disease: Cancer,KG03,54.2
2017,Jalal-Abad,,Non-communicable disease: Cancer,KG03,50.9
2018,Jalal-Abad,,Non-communicable disease: Cancer,KG03,49.480249
2019,Jalal-Abad,,Non-communicable disease: Cancer,KG03,50.87233
2020,Jalal-Abad,,Non-communicable disease: Cancer,KG03,50.5
2021,Jalal-Abad,,Non-communicable disease: Cancer,KG03,46.2
2007,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,37.037037
2008,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,45.2
2009,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.025399
2010,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,46.168768
2011,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,58.846007
2012,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.653363
2013,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.8808
2014,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,53.311793
2015,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,53.555751
2016,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,59.662999
2017,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,57.831732
2018,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,45.627376
2019,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,51.523007
2020,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,49.3
2021,Jalal-Abad,Male,Non-communicable disease: Cancer,KG03,48.9
2007,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,35.634744
2008,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,38.838839
2009,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,46.539144
2010,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,46.461897
2011,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,44.061303
2012,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,44.941707
2013,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,48.461397
2014,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,48.762868
2015,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,52.221632
2016,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,48.784722
2017,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,43.811797
2018,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,53.380187
2019,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,50.213325
2020,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,51.7
2021,Jalal-Abad,Female,Non-communicable disease: Cancer,KG03,43.6
2007,Issyk-Kul,,Non-communicable disease: Cancer,KG02,74.6
2008,Issyk-Kul,,Non-communicable disease: Cancer,KG02,72.4
2009,Issyk-Kul,,Non-communicable disease: Cancer,KG02,78.7
2010,Issyk-Kul,,Non-communicable disease: Cancer,KG02,73.4
2011,Issyk-Kul,,Non-communicable disease: Cancer,KG02,74.0
2012,Issyk-Kul,,Non-communicable disease: Cancer,KG02,84.8
2013,Issyk-Kul,,Non-communicable disease: Cancer,KG02,81.8
2014,Issyk-Kul,,Non-communicable disease: Cancer,KG02,85.2
2015,Issyk-Kul,,Non-communicable disease: Cancer,KG02,89.1
2016,Issyk-Kul,,Non-communicable disease: Cancer,KG02,83.9
2017,Issyk-Kul,,Non-communicable disease: Cancer,KG02,80.9
2018,Issyk-Kul,,Non-communicable disease: Cancer,KG02,90.460526
2019,Issyk-Kul,,Non-communicable disease: Cancer,KG02,87.441672
2020,Issyk-Kul,,Non-communicable disease: Cancer,KG02,85.6
2021,Issyk-Kul,,Non-communicable disease: Cancer,KG02,82.4
2007,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,79.008883
2008,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,68.741291
2009,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,90.658076
2010,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,76.642336
2011,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,82.730561
2012,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,90.380313
2013,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,95.006628
2014,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,93.0131
2015,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,90.948276
2016,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,91.758709
2017,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,88.358459
2018,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,93.311313
2019,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,92.87169
2020,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,99.0
2021,Issyk-Kul,Male,Non-communicable disease: Cancer,KG02,93.3
2007,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,70.390554
2008,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,75.983718
2009,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,67.056706
2010,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,70.183281
2011,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,65.304309
2012,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,79.225352
2013,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,68.785372
2014,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,77.51938
2015,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,87.234043
2016,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,76.05042
2017,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,73.413521
2018,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,87.633088
2019,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,82.053355
2020,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,72.3
2021,Issyk-Kul,Female,Non-communicable disease: Cancer,KG02,71.5
2007,Naryn,,Non-communicable disease: Cancer,KG04,70.8
2008,Naryn,,Non-communicable disease: Cancer,KG04,72.0
2009,Naryn,,Non-communicable disease: Cancer,KG04,72.0
2010,Naryn,,Non-communicable disease: Cancer,KG04,66.7
2011,Naryn,,Non-communicable disease: Cancer,KG04,81.9
2012,Naryn,,Non-communicable disease: Cancer,KG04,63.8
2013,Naryn,,Non-communicable disease: Cancer,KG04,78.2
2014,Naryn,,Non-communicable disease: Cancer,KG04,82.4
2015,Naryn,,Non-communicable disease: Cancer,KG04,89.5
2016,Naryn,,Non-communicable disease: Cancer,KG04,88.1
2017,Naryn,,Non-communicable disease: Cancer,KG04,81.8
2018,Naryn,,Non-communicable disease: Cancer,KG04,87.946741
2019,Naryn,,Non-communicable disease: Cancer,KG04,83.593479
2020,Naryn,,Non-communicable disease: Cancer,KG04,80.4
2021,Naryn,,Non-communicable disease: Cancer,KG04,71.6
2007,Naryn,Male,Non-communicable disease: Cancer,KG04,77.872012
2008,Naryn,Male,Non-communicable disease: Cancer,KG04,75.442648
2009,Naryn,Male,Non-communicable disease: Cancer,KG04,79.632466
2010,Naryn,Male,Non-communicable disease: Cancer,KG04,74.242424
2011,Naryn,Male,Non-communicable disease: Cancer,KG04,83.832335
2012,Naryn,Male,Non-communicable disease: Cancer,KG04,62.130178
2013,Naryn,Male,Non-communicable disease: Cancer,KG04,76.69832
2014,Naryn,Male,Non-communicable disease: Cancer,KG04,90.252708
2015,Naryn,Male,Non-communicable disease: Cancer,KG04,88.508208
2016,Naryn,Male,Non-communicable disease: Cancer,KG04,95.909732
2017,Naryn,Male,Non-communicable disease: Cancer,KG04,80.779944
2018,Naryn,Male,Non-communicable disease: Cancer,KG04,101.928375
2019,Naryn,Male,Non-communicable disease: Cancer,KG04,89.97955
2020,Naryn,Male,Non-communicable disease: Cancer,KG04,93.9
2021,Naryn,Male,Non-communicable disease: Cancer,KG04,81.7
2007,Naryn,Female,Non-communicable disease: Cancer,KG04,63.579278
2008,Naryn,Female,Non-communicable disease: Cancer,KG04,68.396226
2009,Naryn,Female,Non-communicable disease: Cancer,KG04,64.212999
2010,Naryn,Female,Non-communicable disease: Cancer,KG04,59.052059
2011,Naryn,Female,Non-communicable disease: Cancer,KG04,80.0
2012,Naryn,Female,Non-communicable disease: Cancer,KG04,65.498858
2013,Naryn,Female,Non-communicable disease: Cancer,KG04,79.819277
2014,Naryn,Female,Non-communicable disease: Cancer,KG04,74.349442
2015,Naryn,Female,Non-communicable disease: Cancer,KG04,90.441176
2016,Naryn,Female,Non-communicable disease: Cancer,KG04,79.94186
2017,Naryn,Female,Non-communicable disease: Cancer,KG04,82.793377
2018,Naryn,Female,Non-communicable disease: Cancer,KG04,73.466476
2019,Naryn,Female,Non-communicable disease: Cancer,KG04,76.977401
2020,Naryn,Female,Non-communicable disease: Cancer,KG04,66.5
2021,Naryn,Female,Non-communicable disease: Cancer,KG04,61.2
2007,Osh,,Non-communicable disease: Cancer,KG06,38.1
2008,Osh,,Non-communicable disease: Cancer,KG06,36.4
2009,Osh,,Non-communicable disease: Cancer,KG06,40.7
2010,Osh,,Non-communicable disease: Cancer,KG06,40.1
2011,Osh,,Non-communicable disease: Cancer,KG06,43.6
2012,Osh,,Non-communicable disease: Cancer,KG06,43.0
2013,Osh,,Non-communicable disease: Cancer,KG06,43.0
2014,Osh,,Non-communicable disease: Cancer,KG06,50.7
2015,Osh,,Non-communicable disease: Cancer,KG06,50.6
2016,Osh,,Non-communicable disease: Cancer,KG06,49.9
2017,Osh,,Non-communicable disease: Cancer,KG06,49.1
2018,Osh,,Non-communicable disease: Cancer,KG06,50.978916
2019,Osh,,Non-communicable disease: Cancer,KG06,52.767528
2020,Osh,,Non-communicable disease: Cancer,KG06,51.9
2021,Osh,,Non-communicable disease: Cancer,KG06,45.9
2007,Osh,Male,Non-communicable disease: Cancer,KG06,43.366409
2008,Osh,Male,Non-communicable disease: Cancer,KG06,40.857091
2009,Osh,Male,Non-communicable disease: Cancer,KG06,49.892704
2010,Osh,Male,Non-communicable disease: Cancer,KG06,47.669492
2011,Osh,Male,Non-communicable disease: Cancer,KG06,50.732218
2012,Osh,Male,Non-communicable disease: Cancer,KG06,47.912389
2013,Osh,Male,Non-communicable disease: Cancer,KG06,46.671127
2014,Osh,Male,Non-communicable disease: Cancer,KG06,56.218336
2015,Osh,Male,Non-communicable disease: Cancer,KG06,57.23852
2016,Osh,Male,Non-communicable disease: Cancer,KG06,55.711173
2017,Osh,Male,Non-communicable disease: Cancer,KG06,54.811206
2018,Osh,Male,Non-communicable disease: Cancer,KG06,55.298852
2019,Osh,Male,Non-communicable disease: Cancer,KG06,57.810219
2020,Osh,Male,Non-communicable disease: Cancer,KG06,56.5
2021,Osh,Male,Non-communicable disease: Cancer,KG06,50.3
2007,Osh,Female,Non-communicable disease: Cancer,KG06,32.673637
2008,Osh,Female,Non-communicable disease: Cancer,KG06,31.907045
2009,Osh,Female,Non-communicable disease: Cancer,KG06,31.255679
2010,Osh,Female,Non-communicable disease: Cancer,KG06,32.437276
2011,Osh,Female,Non-communicable disease: Cancer,KG06,36.415061
2012,Osh,Female,Non-communicable disease: Cancer,KG06,38.014234
2013,Osh,Female,Non-communicable disease: Cancer,KG06,39.232337
2014,Osh,Female,Non-communicable disease: Cancer,KG06,45.001661
2015,Osh,Female,Non-communicable disease: Cancer,KG06,43.774319
2016,Osh,Female,Non-communicable disease: Cancer,KG06,43.898574
2017,Osh,Female,Non-communicable disease: Cancer,KG06,43.322981
2018,Osh,Female,Non-communicable disease: Cancer,KG06,46.568254
2019,Osh,Female,Non-communicable disease: Cancer,KG06,47.61194
2020,Osh,Female,Non-communicable disease: Cancer,KG06,47.2
2021,Osh,Female,Non-communicable disease: Cancer,KG06,41.4
2007,Talas,,Non-communicable disease: Cancer,KG07,47.2
2008,Talas,,Non-communicable disease: Cancer,KG07,54.7
2009,Talas,,Non-communicable disease: Cancer,KG07,59.7
2010,Talas,,Non-communicable disease: Cancer,KG07,66.0
2011,Talas,,Non-communicable disease: Cancer,KG07,59.9
2012,Talas,,Non-communicable disease: Cancer,KG07,58.5
2013,Talas,,Non-communicable disease: Cancer,KG07,68.3
2014,Talas,,Non-communicable disease: Cancer,KG07,68.9
2015,Talas,,Non-communicable disease: Cancer,KG07,60.6
2016,Talas,,Non-communicable disease: Cancer,KG07,70.7
2017,Talas,,Non-communicable disease: Cancer,KG07,62.6
2018,Talas,,Non-communicable disease: Cancer,KG07,59.724349
2019,Talas,,Non-communicable disease: Cancer,KG07,61.03994
2020,Talas,,Non-communicable disease: Cancer,KG07,75.4
2021,Talas,,Non-communicable disease: Cancer,KG07,52.1
2007,Talas,Male,Non-communicable disease: Cancer,KG07,52.111411
2008,Talas,Male,Non-communicable disease: Cancer,KG07,48.845471
2009,Talas,Male,Non-communicable disease: Cancer,KG07,69.298246
2010,Talas,Male,Non-communicable disease: Cancer,KG07,75.324675
2011,Talas,Male,Non-communicable disease: Cancer,KG07,60.528559
2012,Talas,Male,Non-communicable disease: Cancer,KG07,67.001675
2013,Talas,Male,Non-communicable disease: Cancer,KG07,65.020576
2014,Talas,Male,Non-communicable disease: Cancer,KG07,80.906149
2015,Talas,Male,Non-communicable disease: Cancer,KG07,65.18283
2016,Talas,Male,Non-communicable disease: Cancer,KG07,72.713057
2017,Talas,Male,Non-communicable disease: Cancer,KG07,70.878274
2018,Talas,Male,Non-communicable disease: Cancer,KG07,61.363636
2019,Talas,Male,Non-communicable disease: Cancer,KG07,58.122206
2020,Talas,Male,Non-communicable disease: Cancer,KG07,85.2
2021,Talas,Male,Non-communicable disease: Cancer,KG07,58.8
2007,Talas,Female,Non-communicable disease: Cancer,KG07,42.190305
2008,Talas,Female,Non-communicable disease: Cancer,KG07,60.498221
2009,Talas,Female,Non-communicable disease: Cancer,KG07,50.176056
2010,Talas,Female,Non-communicable disease: Cancer,KG07,56.570931
2011,Talas,Female,Non-communicable disease: Cancer,KG07,59.329321
2012,Talas,Female,Non-communicable disease: Cancer,KG07,50.0
2013,Talas,Female,Non-communicable disease: Cancer,KG07,71.726439
2014,Talas,Female,Non-communicable disease: Cancer,KG07,56.696795
2015,Talas,Female,Non-communicable disease: Cancer,KG07,55.870445
2016,Talas,Female,Non-communicable disease: Cancer,KG07,68.635275
2017,Talas,Female,Non-communicable disease: Cancer,KG07,54.245283
2018,Talas,Female,Non-communicable disease: Cancer,KG07,58.049536
2019,Talas,Female,Non-communicable disease: Cancer,KG07,64.02439
2020,Talas,Female,Non-communicable disease: Cancer,KG07,65.4
2021,Talas,Female,Non-communicable disease: Cancer,KG07,45.3
2007,Chui,,Non-communicable disease: Cancer,KG08,88.1
2008,Chui,,Non-communicable disease: Cancer,KG08,91.2
2009,Chui,,Non-communicable disease: Cancer,KG08,95.3
2010,Chui,,Non-communicable disease: Cancer,KG08,89.6
2011,Chui,,Non-communicable disease: Cancer,KG08,92.0
2012,Chui,,Non-communicable disease: Cancer,KG08,91.5
2013,Chui,,Non-communicable disease: Cancer,KG08,88.3
2014,Chui,,Non-communicable disease: Cancer,KG08,92.7
2015,Chui,,Non-communicable disease: Cancer,KG08,82.6
2016,Chui,,Non-communicable disease: Cancer,KG08,94.3
2017,Chui,,Non-communicable disease: Cancer,KG08,91.3
2018,Chui,,Non-communicable disease: Cancer,KG08,97.487653
