Year,Series,REF_AREA,SEX,Value
2018,SL_EMP_FTLINJUR,KG11,,2.126042
2019,SL_EMP_FTLINJUR,KG11,,2.024005
2013,SL_EMP_FTLINJUR,KG11,F,1.07118
2016,SL_EMP_FTLINJUR,KG11,F,1.059558
2018,SL_EMP_FTLINJUR,KG11,F,1.017491
2007,SL_EMP_FTLINJUR,KG11,M,4.280822
2008,SL_EMP_FTLINJUR,KG11,M,6.68342
2009,SL_EMP_FTLINJUR,KG11,M,6.186434
2010,SL_EMP_FTLINJUR,KG11,M,14.513261
2011,SL_EMP_FTLINJUR,KG11,M,4.34967
2012,SL_EMP_FTLINJUR,KG11,M,4.50121
2013,SL_EMP_FTLINJUR,KG11,M,6.875688
2014,SL_EMP_FTLINJUR,KG11,M,3.41328
2015,SL_EMP_FTLINJUR,KG11,M,3.486669
2016,SL_EMP_FTLINJUR,KG11,M,5.71311
2017,SL_EMP_FTLINJUR,KG11,M,4.530781
2018,SL_EMP_FTLINJUR,KG11,M,3.338452
2019,SL_EMP_FTLINJUR,KG11,M,4.205612
2007,SL_EMP_FTLINJUR,KG21,,5.264266
2008,SL_EMP_FTLINJUR,KG21,,7.598784
2009,SL_EMP_FTLINJUR,KG21,,2.618418
2010,SL_EMP_FTLINJUR,KG21,,7.900766
2011,SL_EMP_FTLINJUR,KG21,,2.629849
2012,SL_EMP_FTLINJUR,KG21,,2.666667
2013,SL_EMP_FTLINJUR,KG21,,8.157938
2014,SL_EMP_FTLINJUR,KG21,,5.178932
2015,SL_EMP_FTLINJUR,KG21,,2.512879
2016,SL_EMP_FTLINJUR,KG21,,2.492274
2017,SL_EMP_FTLINJUR,KG21,,7.657554
2018,SL_EMP_FTLINJUR,KG21,,2.617458
2007,SL_EMP_FTLINJUR,KG21,M,10.292301
2008,SL_EMP_FTLINJUR,KG21,M,15.067048
2009,SL_EMP_FTLINJUR,KG21,M,5.023106
2010,SL_EMP_FTLINJUR,KG21,M,15.020277
2011,SL_EMP_FTLINJUR,KG21,M,5.037022
2012,SL_EMP_FTLINJUR,KG21,M,5.200208
2013,SL_EMP_FTLINJUR,KG21,M,16.2584
2014,SL_EMP_FTLINJUR,KG21,M,10.437869
2015,SL_EMP_FTLINJUR,KG21,M,4.948046
2016,SL_EMP_FTLINJUR,KG21,M,5.088023
2017,SL_EMP_FTLINJUR,KG21,M,16.135105
2018,SL_EMP_FTLINJUR,KG21,M,5.567309
