Year,Территория,Пол,COMPOSITE_BREAKDOWN,Value
2009,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2935.0
2010,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3108.0
2011,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3124.0
2012,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3053.0
2013,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2740.0
2014,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2757.0
2015,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2619.0
2016,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2529.0
2017,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2472.0
2018,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2357.0
2019,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2370.0
2020,г. Бишкек,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2549.0
2007,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2478.0
2008,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2920.0
2009,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2743.0
2010,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2680.0
2011,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2819.0
2012,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2987.0
2013,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2668.0
2014,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2701.0
2015,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2535.0
2016,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2489.0
2017,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2404.0
2018,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2234.0
2019,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2088.0
2020,г. Ош,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2873.0
2007,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2799.0
2008,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3140.0
2009,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3118.0
2010,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2929.0
2011,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3165.0
2012,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3191.0
2013,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2850.0
2014,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2801.0
2015,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2774.0
2016,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2571.0
2017,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2437.0
2018,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2268.0
2019,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2212.0
2020,г. Ош,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2914.0
2007,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2181.0
2008,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2718.0
2009,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2398.0
2010,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2450.0
2011,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2500.0
2012,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2800.0
2013,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2498.0
2014,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2608.0
2015,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2313.0
2016,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2413.0
2017,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2373.0
2018,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2202.0
2019,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,1972.0
2020,г. Ош,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2835.0
2007,,,Неинфекционные заболевания: Онкологические заболевания,571.0
2008,,,Неинфекционные заболевания: Онкологические заболевания,582.0
2009,,,Неинфекционные заболевания: Онкологические заболевания,607.0
2010,,,Неинфекционные заболевания: Онкологические заболевания,594.0
2011,,,Неинфекционные заболевания: Онкологические заболевания,613.0
2012,,,Неинфекционные заболевания: Онкологические заболевания,594.0
2013,,,Неинфекционные заболевания: Онкологические заболевания,610.0
2014,,,Неинфекционные заболевания: Онкологические заболевания,643.0
2015,,,Неинфекционные заболевания: Онкологические заболевания,645.0
2016,,,Неинфекционные заболевания: Онкологические заболевания,644.0
2017,,,Неинфекционные заболевания: Онкологические заболевания,62.2
2018,,,Неинфекционные заболевания: Онкологические заболевания,65.6
2019,,,Неинфекционные заболевания: Онкологические заболевания,641.0
2020,,,Неинфекционные заболевания: Онкологические заболевания,638.0
2007,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,608.0
2008,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,608.0
2009,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,661.0
2010,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,637.0
2011,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,656.0
2012,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,632.0
2013,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,640.0
2014,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,690.0
2015,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,668.0
2016,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,693.0
2017,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,659.0
2018,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,673.0
2019,,Мужчины,Неинфекционные заболевания: Онкологические заболевания,663.0
2007,,Женщины,Неинфекционные заболевания: Онкологические заболевания,535.0
2008,,Женщины,Неинфекционные заболевания: Онкологические заболевания,557.0
2009,,Женщины,Неинфекционные заболевания: Онкологические заболевания,554.0
2010,,Женщины,Неинфекционные заболевания: Онкологические заболевания,553.0
2011,,Женщины,Неинфекционные заболевания: Онкологические заболевания,570.0
2012,,Женщины,Неинфекционные заболевания: Онкологические заболевания,556.0
2013,,Женщины,Неинфекционные заболевания: Онкологические заболевания,580.0
2014,,Женщины,Неинфекционные заболевания: Онкологические заболевания,597.0
2015,,Женщины,Неинфекционные заболевания: Онкологические заболевания,622.0
2016,,Женщины,Неинфекционные заболевания: Онкологические заболевания,597.0
2017,,Женщины,Неинфекционные заболевания: Онкологические заболевания,586.0
2018,,Женщины,Неинфекционные заболевания: Онкологические заболевания,639.0
2019,,Женщины,Неинфекционные заболевания: Онкологические заболевания,619.0
2007,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,323.0
2008,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,264.0
2009,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,302.0
2010,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,338.0
2011,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,339.0
2012,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,330.0
2013,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,321.0
2014,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,356.0
2015,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,423.0
2016,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,386.0
2017,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,326.0
2018,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,433.0
2019,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,375.0
2020,Баткенская область,,Неинфекционные заболевания: Онкологические заболевания,341.0
2007,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,308.0
2008,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,310.0
2009,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,342.0
2010,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,351.0
2011,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,314.0
2012,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,304.0
2013,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,284.0
2014,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,389.0
2015,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,424.0
2016,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,371.0
2017,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,290.0
2018,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,382.0
2019,Баткенская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,384.0
2007,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,338.0
2008,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,216.0
2009,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,260.0
2010,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,325.0
2011,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,365.0
2012,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,358.0
2013,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,359.0
2014,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,321.0
2015,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,422.0
2016,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,400.0
2017,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,364.0
2018,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,486.0
2019,Баткенская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,365.0
2007,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,363.0
2008,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,420.0
2009,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,478.0
2010,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,463.0
2011,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,515.0
2012,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,473.0
2013,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,492.0
2014,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,510.0
2015,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,529.0
2016,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,542.0
2017,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,509.0
2018,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,495.0
2019,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,509.0
2020,Джалал-Абадская область,,Неинфекционные заболевания: Онкологические заболевания,505.0
2007,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,370.0
2008,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,452.0
2009,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,490.0
2010,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,462.0
2011,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,588.0
2012,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,497.0
2013,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,499.0
2014,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,533.0
2015,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,536.0
2016,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,597.0
2017,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,578.0
2018,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,456.0
2019,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,515.0
2007,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,356.0
2008,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,388.0
2009,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,465.0
2010,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,465.0
2011,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,441.0
2012,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,449.0
2013,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,485.0
2014,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,488.0
2015,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,522.0
2016,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,488.0
2017,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,438.0
2018,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,534.0
2019,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,502.0
2007,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,746.0
2008,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,724.0
2009,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,787.0
2010,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,734.0
2011,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,740.0
2012,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,848.0
2013,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,818.0
2014,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,852.0
2015,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,891.0
2016,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,839.0
2017,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,809.0
2018,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,905.0
2019,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,874.0
2020,Иссык-Кульская область,,Неинфекционные заболевания: Онкологические заболевания,856.0
2007,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,790.0
2008,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,687.0
2009,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,907.0
2010,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,766.0
2011,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,827.0
2012,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,904.0
2013,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,950.0
2014,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,930.0
2015,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,909.0
2016,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,918.0
2017,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,884.0
2018,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,933.0
2019,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,929.0
2007,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,704.0
2008,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,760.0
2009,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,671.0
2010,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,702.0
2011,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,653.0
2012,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,792.0
2013,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,688.0
2014,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,775.0
2015,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,872.0
2016,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,761.0
2017,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,734.0
2018,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,876.0
2019,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,821.0
2007,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,708.0
2008,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,720.0
2009,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,720.0
2010,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,667.0
2011,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,819.0
2012,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,638.0
2013,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,782.0
2014,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,824.0
2015,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,895.0
2016,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,881.0
2017,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,818.0
2018,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,879.0
2019,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,836.0
2020,Нарынская область,,Неинфекционные заболевания: Онкологические заболевания,804.0
2007,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,779.0
2008,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,754.0
2009,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,796.0
2010,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,742.0
2011,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,838.0
2012,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,621.0
2013,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,767.0
2014,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,903.0
2015,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,885.0
2016,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,959.0
2017,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,808.0
2018,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,1019.0
2019,Нарынская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,900.0
2007,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,636.0
2008,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,684.0
2009,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,642.0
2010,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,591.0
2011,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,800.0
2012,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,655.0
2013,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,798.0
2014,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,743.0
2015,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,904.0
2016,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,799.0
2017,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,828.0
2018,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,735.0
2019,Нарынская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,770.0
2007,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,381.0
2008,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,364.0
2009,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,407.0
2010,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,401.0
2011,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,436.0
2012,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,430.0
2013,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,430.0
2014,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,507.0
2015,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,506.0
2016,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,499.0
2017,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,491.0
2018,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,510.0
2019,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,528.0
2020,Ошская область,,Неинфекционные заболевания: Онкологические заболевания,519.0
2007,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,434.0
2008,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,409.0
2009,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,499.0
2010,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,477.0
2011,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,507.0
2012,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,479.0
2013,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,467.0
2014,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,562.0
2015,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,572.0
2016,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,557.0
2017,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,548.0
2018,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,553.0
2019,Ошская область,Мужчины,Неинфекционные заболевания: Онкологические заболевания,578.0
2007,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,327.0
2008,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,319.0
2009,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,313.0
2010,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,324.0
2011,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,364.0
2012,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,380.0
2013,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,392.0
2014,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,450.0
2015,Ошская область,Женщины,Неинфекционные заболевания: Онкологические заболевания,438.0
